Musica,Letra
Eu Que Não Amo Você,"[<p>Eu, que não fumo, queria um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês</p>, <p>Senti saudade, vontade de voltar<br/>Fazer a coisa certa, aqui é o meu lugar<br/>Mas sabe como é difícil encontrar<br/>A palavra certa, a hora certa de voltar<br/>A porta aberta, a hora certa de chegar</p>, <p>Eu, que não fumo, queria um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês<br/>E eu, que não bebo, pedi um conhaque<br/>Pra enfrentar o inverno<br/>Que entra pela porta<br/>Que você deixou aberta ao sair</p>, <p>O certo é que eu dancei sem querer dançar<br/>E agora já nem sei qual é o meu lugar<br/>Dia e noite, sem parar, eu procurei, sem encontrar<br/>A palavra certa, a hora certa de voltar<br/>A porta aberta, a hora certa de chegar</p>, <p>Eu, que não fumo, queria um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês<br/>E eu que não bebo, pedi um conhaque<br/>Pra enfrentar o inverno<br/>Que entra pela porta<br/>Que você deixou aberta ao sair</p>, <p>Eu, que não fumo, eu queria um cigarro<br/>Eu que não amo você</p>, <p>Eu, que não fumo, pedi um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês<br/>E eu que não bebo, queria um conhaque<br/>Pra enfrentar o inverno<br/>Que entra pela porta<br/>Que você deixou aberta ao sair</p>]"
Negro Amor,"[<p>Vá, se mande, junte tudo que você puder levar<br/>Ande, tudo que parece seu é bom que agarre já<br/>Seu filho feio e louco ficou só<br/>Chorando feito fogo à luz do sol<br/>Os alquimistas já estão no corredor<br/>E não tem mais nada, negro amor</p>, <p>A estrada é pra você e o jogo é a indecência<br/>Junte tudo que você conseguiu por coincidência<br/>E o pintor de rua que anda só<br/>Desenha maluquice em seu lençol<br/>Sob seus pés o céu também rachou<br/>E não tem mais nada, negro amor<br/>E não tem mais nada, negro amor</p>, <p>Seus marinheiros mareados abandonam o mar<br/>Seus guerreiros desarmados não vão mais lutar<br/>Seu namorado já vai dando o fora<br/>Levando os cobertores? E agora?<br/>Até o tapete sem você voou<br/>E não tem mais nada, negro amor<br/>E não tem mais nada, negro amor</p>, <p>As pedras do caminho deixe para trás<br/>Esqueça os mortos eles não levantam mais<br/>O vagabundo esmola pela rua<br/>Vestindo a mesma roupa que foi sua<br/>Risque outro fósforo, outra vida, outra luz, outra cor<br/>E não tem mais nada, negro amor</p>]"
Concreto e Asfalto,"[<p>Se eu fosse embora agora<br/>Será que você entenderia<br/>Que há um tempo certo<br/>Para tudo<br/>Cedo ou tarde chega o dia</p>, <p>Se eu fosse sem dizer palavra<br/>Será que você escutaria<br/>O silêncio me dizendo que a culpa não foi sua</p>, <p>É que eu nasci com o pé na estrada<br/>Com a cabeça lá na lua</p>, <p>Não vou ficar, não vou ficar<br/>Fiz bandeira desses trapos devorei concreto e asfalto<br/>Fiz bandeira desses trapos devorei concreto e asfalto</p>, <p>Tenho feito meu caminho<br/>Volta e meia fico só<br/>Reconheço meus defeitos<br/>E o efeito dominó</p>, <p>Mas se eu ficasse ao seu lado<br/>De nada adiantaria<br/>Se eu fosse um cara diferente<br/>Sabe lá como eu seria</p>, <p>Não vou ficar, não vou ficar<br/>Fiz bandeira desses trapos devorei concreto e asfalto<br/>Fiz bandeira desses trapos devorei concreto e asfalto</p>, <p>Fiz o meu caminho devorei concreto e asfalto<br/>Fiz o meu caminho devorei concreto e asfalto</p>]"
Até Mais,"[<p>Não foi assim que eu sonhei a nossa vida<br/>A despedida seria até logo mais<br/>Mas a vida não permite ensaios<br/>Não há raios antes do trovão<br/>Não olhe para mim como se eu fosse invisível<br/>Como se fosse possível enxergar nessa escuridão<br/>Não olhe pra trás (odeio despedidas)<br/>Diga até mais!<br/>Mesmo se for adeus</p>, <p>Eu, você e mais ninguém<br/>Só nós dois, nada mais a nosso favor<br/>Eu, você e mais ninguém<br/>Um mundo estranho que queimava sonhos</p>, <p>Ao nosso redor (Eu e você)<br/>Não foi assim que eu sonhei a nossa vida<br/>A despedida seria até logo mais<br/>Mas numa guerra ninguém mede conseqüências<br/>A gente erra, depois pede perdão</p>, <p>Eu, você e mais ninguém<br/>Só nós dois, nada mais a nosso favor<br/>Eu, você e mais ninguém<br/>Só nós dois, ninguém mais ao nosso redor<br/>Não podia durar para sempre<br/>Não podia ser diferente<br/>Não poderia ter sido melhor (Eu e você)<br/>Eu, você e mais ninguém<br/>Só nós dois e nada mais</p>]"
Nada Fácil,"[<p>Neurotransmissores, mísseis na pressão<br/>A vida em cada curva dispara o coração<br/>Nada fácil cara, euforia e depressão<br/>Muitas pedras no caminho,<br/>Uma flor em cada mão</p>, <p>¡Tchau Radar!<br/>Eu vou saltar!<br/>Não é nada fácil cara,<br/>Euforia e depressão<br/>Muitas flores no caminho<br/>E uma pedra em cada mão</p>, <p>Reza a lenda que a gente nasceu pra ser feliz<br/>Que o crime não compensa<br/>E tudo conspira a favor<br/>Reza a lenda que a noite é uma criança<br/>Envolta da fogueira a tribo dança</p>, <p>Pra celebrar... e descerebrar</p>, <p>Neurotransmissores, mísseis na pressão<br/>A vida em cada curva, no limiar da dor<br/>Entre a vertigem de um cavalo alado<br/>E o óleo diesel de um cavalo-vapor</p>, <p>Reza a lenda que a gente nasceu pra ser feliz<br/>Que o crime não compensa e tudo conspira a favor<br/>Reza a lenda que a noite é uma criança<br/>Em volta da fogueira a tribo dança</p>, <p>Pra celebrar... e descerebrar<br/>Pra celebrar... e descerebrar</p>, <p>Reza a lenda que a gente nasceu pra ser feliz<br/>Que o crime não compensa e tudo conspira a favor<br/>Reza a lenda que a noite é uma criança<br/>Em volta da fogueira a tribo inteira</p>, <p>Quer celebrar... e descerebrar<br/>Quer celebrar... e descerebrar<br/>Quer celebrar... e descerebrar</p>]"
O Olho Do Furacão,"[<p>Tudo muda ao teu redor, o que era certo, sólido<br/>Dissolve, desaba, dilui, desmancha no ar<br/>No moinho, giram as pás, e o tempo vira pó<br/>De grão em grão, por entre os dedos, tudo parece escapar</p>, <p>Estamos no centro, por dentro de tudo, no olho do furacão<br/>Estamos no centro de tudo que gira, na mira do canhão<br/>Se for parar pra pensar, não vai sair do lugar</p>, <p>!Não tem parada errada, não! No olho do furacão</p>, <p>Tudo gira ao teu redor o que era certo, sólido<br/>Evapora, vai-se embora, o que era líquido e certo</p>, <p>Estamos no centro, por dentro de tudo, no olho do furacão<br/>Estamos no centro de tudo que gira, na mira do canhão<br/>Se for parar pra pensar, não vai sair do lugar<br/>!Não tem parada errada, não! No olho do furacão<br/>No olho do furacão...</p>]"
Seguir Viagem,"[<p>Seguir viagem, tirar os pés do chão<br/>Viver à margem, correr na contramão<br/>A tua imagem e perfeição<br/>Segue comigo e me dá direção</p>, <p>Se dizem que é impossível<br/>Eu digo: é necessário!<br/>Se dizem que estou louco<br/>(fazendo tudo ao contrário)<br/>Eu digo que é preciso<br/>Eu preciso, é necessário</p>, <p>Seguir viagem, tirar os pés da terra firme<br/>E seguir viagem</p>, <p>Seguir viagem, tirar os pés do chão<br/>Outros ares, sete mares, voar, mergulhar<br/>O que nos dá coragem<br/>Não é o mar nem o abismo<br/>É a margem, o limite e sua negação</p>, <p>Se dizem que é impossível<br/>Eu digo: é necessário!<br/>Se dizem que é loucura<br/>(eu provo o contrário)<br/>E digo que é preciso<br/>Eu preciso, é necessário</p>, <p>Seguir viagem, tirar os pés da terra firme<br/>E seguir viagem</p>]"
10.000 Destinos,"[<p>Há mais de mil destinos em cada esquina<br/>Outras vidas esperando em cada esquina</p>, <p>Há quase mil motivos pra gente ignorar<br/>O que ouve o que vê em cada esquina</p>, <p>Uma vitrine muito bandeira<br/>Um I'mã na geladeira<br/>Alça de mira<br/>Lente de aumento<br/>Vampiro em frente ao espelho</p>, <p>Porque será? Me diz? Porque será?<br/>Que a gente cruza o rio atrás de água</p>, <p>E diz que não está nem aí<br/>Finge que não está nem aí (nem aí)</p>, <p>Gritos na torcida<br/>Sinos na catedral<br/>Uma palavra omitida no hino nacional</p>, <p>Tambores, motores<br/>Pulso e coração<br/>Um minuto de silêncio antes da explosão</p>]"
Na Real,"[<p>Encontrei depois de tanto tempo<br/>Viajei... passei o passado a limpo<br/>Dei um rewind revi tudo em fast-forward<br/>Encontrei depois de tanto procurar<br/>Será que você existe?</p>, <p>12h há mais de uma semana<br/>Piscam as luzes no videocassete<br/>12 meses...lá se vai um ano<br/>E o outono parece não passar<br/>?será que você existe?</p>, <p>Encontrei depois de tanto tempo<br/>Em vidas passadas<br/>Em noites passadas em branco<br/>Olho para o lado e nada vejo<br/>Já não sei o que é verdade e o que é desejo<br/>Será que você existe?<br/>Será fruto da imaginação?</p>, <p>Miragens, fantasmas, ovni's<br/>E o que mais for preciso para ser feliz<br/>Meu coração visionário tá legal<br/>E dispensa comentários<br/>Ele nem pensa na real</p>, <p>Será?<br/>Miragens, fantasmas, viagens no tempo<br/>Será que você existe?<br/>Será?<br/>Delírio, desejo, vozes e visões<br/>Fruto da imaginação?</p>]"
3 X 4,"[<p>Diga a verdade<br/>Ao menos uma vez na vida<br/>Você se apaixonou<br/>Pelos meus erros</p>, <p>Não fique pela metade<br/>Vá em frente, minha amiga<br/>Destrua a razão<br/>Deste beco sem saída</p>, <p>Diga a verdade<br/>Ponha o dedo na ferida<br/>Você se apaixonou<br/>Pelos meus erros</p>, <p>E eu perdi as chaves<br/>Mas que cabeça a minha<br/>Agora vai ter que ser<br/>Para toda a vida</p>, <p>Somos o que há de melhor<br/>Somos o que dá pra fazer<br/>O que não dá pra evitar<br/>E não se pode escolher</p>, <p>Se eu tivesse a força<br/>Que você pensa que eu tenho<br/>Eu gravaria no metal da minha pele<br/>O teu desenho</p>, <p>Feitos um pro outro<br/>Feitos pra durar<br/>Uma luz que não produz<br/>Sombra</p>, <p>O que não dá pra evitar<br/>E não se pode escolher</p>, <p>Somos o que há de melhor<br/>Somos o que dá pra fazer<br/>O que não dá pra evitar<br/>E não se pode escolher</p>]"
Melhor Assim,"[<p>foi cruel, mas foi melhor assim<br/>sei que dói quando chega o fim<br/>dores que ninguém nunca sentiu<br/>é o sentimento mais comum<br/>já vi o fim do mundo algumas vezes<br/>e na manhã seguinte tava tudo bem<br/>melhor pra você se ela foi embora<br/>melhor assim</p>, <p>digo de coração: muito melhor assim<br/>mas talvez fosse melhor ficar calado<br/>já vi o fim do mundo algumas vezes<br/>é o sentimento mais comum<br/>melhor pra você se ela foi embora<br/>melhor assim</p>, <p>foi o fim de uma viagem... o guia estava errado<br/>mas há estrelas atrás das nuvens<br/>no céu da pátria nesse instante<br/>há um porto escondido no coração do viajante<br/>melhor pra você se ela foi embora<br/>muito melhor assim</p>]"
Cruzada,"[<p>Não sei andar sozinho por essas ruas<br/>Sei do perigo que nos rodeia<br/>Pelo caminhos não há sinal de sol<br/>Mas tudo me acalma no seu olhar</p>, <p>Não quero ter mais sangue morto nas veias<br/>Quero o abrigo do seu abraço que me incendeia<br/>Não há sinal de cais<br/>Mas tudo me acalma no seu olhar</p>, <p>Você parece comigo, nenhum senhor lhe acompanha<br/>Você também se dá um beijo, dá abrigo<br/>Flor nas janelas da casa, olho no seu inimigo<br/>Você também se dá um beijo, dá abrigo<br/>Se dá um riso, dá um tiro</p>, <p>Não sei andar sozinho por essas ruas<br/>Sei do perigo que nos rodeia<br/>Pelo caminhos não há sinal de sol<br/>Mas tudo me acalma no seu olhar</p>, <p>Você parece comigo, nenhum senhor lhe acompanha<br/>Você também se dá um beijo, dá abrigo<br/>Flor nas janelas da casa, olho no seu inimigo<br/>Você também se dá um beijo, dá abrigo<br/>Se dá um riso, dá um tiro</p>, <p>Você parece comigo, nenhum senhor lhe acompanha<br/>Você também se dá um beijo, dá abrigo<br/>Flor nas janelas da casa, olho no seu inimigo<br/>Você também se dá um beijo, dá abrigo<br/>Se dá um riso, dá um tiro<br/>Se dá um beijo, dá abrigo<br/>Se dá um riso, dá um tiro<br/>se dá um beijo, dá abrigo<br/>Um tiro<br/>Abrigo<br/>Se dá um riso, dá um tiro</p>]"
