Musica,Letra
A Montanha,"[<p>Nem tão longe que eu não possa ver<br/>Nem tão perto que eu possa tocar<br/>Nem tão longe que eu não possa crer<br/>Que um dia chego lá<br/>Nem tão perto que eu possa acreditar<br/>Que o dia já chegou</p>, <p>No alto da montanha, num arranha-céu<br/>No alto da montanha, num arranha-céu</p>, <p>Se eu pudesse, ao menos te contar<br/>O que se enxerga lá do alto<br/>Com céu aberto, limpo e claro<br/>Ou com os olhos fechados<br/>Se eu pudesse ao menos te levar comigo lá</p>, <p>Pro alto da montanha, num arranha-céu<br/>Pro alto da montanha, num arranha-céu</p>, <p>Sem final feliz ou infeliz, atores sem papel<br/>No alto da montanha, à toa, ao léu</p>, <p>Nem tão longe, impossível<br/>Nem tampouco lá, já</p>, <p>No alto da montanha, num arranha-céu<br/>No alto da montanha, num arranha-céu</p>, <p>Sem final feliz ou infeliz, atores sem papel<br/>No alto da montanha, num arranha-céu</p>]"
Infinita Highway,"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
A Promessa,"[<p>Não vejo nada (o que eu vejo não me agrada)<br/>Não ouço nada (o que eu ouço não diz nada)<br/>Perdi a conta das pérolas e porcos<br/>Que eu cruzei pela estrada</p>, <p>Estou ligado a cabo<br/>A tudo que acaba de acontecer</p>, <p>Propaganda é a arma do negócio<br/>No nosso peito bate um alvo muito fácil<br/>Mira a laser, miragem de consumo<br/>Latas e litros de paz teleguiada</p>, <p>Estou ligado a cabo<br/>A tudo que eles têm pra oferecer</p>, <p>O céu é só uma promessa<br/>Eu tenho pressa, vamos nessa direção<br/>Atrás de um sol que nos aqueça<br/>Minha cabeça não aguenta mais</p>, <p>Tu me encontrastes de mãos vazias<br/>Eu te encontrei na contramão<br/>Na hora exata, na encruzilhada<br/>Na highway da super-informação</p>, <p>Estamos tão ligados<br/>Já não temos o que temer</p>, <p>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção<br/>Atrás de um sol que nos aqueça<br/>Minha cabeça não aguenta mais</p>, <p>Não aguenta mais</p>, <p>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção<br/>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção</p>, <p>O céu é só uma promessa</p>]"
Ninguém = Ninguém,"[<p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há tanta gente pelas ruas<br/>Há tantas ruas e nenhuma é igual a outra<br/>Ninguém é igual a ninguém<br/>Me espanta de tanta gente sinta<br/>Se é que sente a mesma indiferença</p>, <p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há palavras que nunca são ditas<br/>Há muitas vozes repetindo a mesma frase<br/>Ninguém é igual a ninguém<br/>Me espanta que tanta gente minta<br/>Descaradamente, a mesma mentira</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais</p>, <p>Há pouca água e muita sede<br/>Uma represa, um apartheid<br/>A vida seca, os olhos úmidos<br/>Entre duas pessoas<br/>Entre quatro paredes<br/>Tudo fica claro<br/>Ninguém fica indiferente<br/>Ninguém é igual a ninguém<br/>Me assusta que justamente agora<br/>Todo mundo, tanta gente, tenha ido embora</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Que os outros</p>, <p>O que encanta é que tanta gente<br/>Sinta, se é que sente, ou<br/>Minta desesperadamente<br/>Da mesma forma</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Todos iguais<br/>Tão desiguais</p>]"
Parabólica,"[<p>Ela para e fica ali parada<br/>Olha-se para nada<br/>Paraná<br/>Fica parecida, paraguaia<br/>Para-raios em dia de sol<br/>Para mim</p>, <p>Prenda minha parabólica<br/>Princesinha parabólica<br/>O pecado mora ao lado<br/>E o paraíso paira no ar</p>, <p>Pecados no paraíso</p>, <p>Se a TV estiver fora do ar<br/>Quando passarem<br/>Os melhores momentos da sua vida<br/>Pela janela, alguém estará<br/>De olho em você<br/>Paranoica</p>, <p>Prenda minha parabólica<br/>Princesinha Clarabólica<br/>Paralelas que se cruzam<br/>Em Belém do Pará</p>, <p>Longe, longe, longe aqui do lado<br/>Paradoxo<br/>Nada nos separa</p>, <p>Eu paro e fico aqui parado<br/>Olho-me para longe<br/>A distância não separabólica</p>]"
Toda Forma De Poder / Ilusão de Ótica,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Refrão De Bolero,"[<p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Com um vinho barato<br/>Um cigarro no cinzeiro<br/>E uma cara embriagada<br/>No espelho do banheiro</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem os meus instintos mais sacanas<br/>O teu olhar sempre distante sempre me engana</p>, <p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Eu fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Ana, teus lábios são labirintos<br/>Ana, eu sigo a tua pista todo dia da semana<br/>Eu entro sempre na tua dança de cigana</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem meus instintos mais sacanas<br/>E o teu olhar sempre distante sempre me engana<br/>Eu sigo a tua pista todo dia da semana</p>, <p>Todo dia, todo dia<br/>Da semana</p>, <p>Eu sigo a tua pista todo dia da semana<br/>Ana!<br/>O que eu falei foi sem pensar<br/>Foi sem pensar!</p>]"
Somos Quem Podemos Ser,"[<p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Um dia me disseram<br/>Que os ventos às vezes erram a direção</p>, <p>E tudo ficou tão claro<br/>Um intervalo na escuridão<br/>Uma estrela de brilho raro<br/>Um disparo para um coração</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Quem eram os donos da situação<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>E tudo ficou tão claro<br/>O que era raro ficou comum<br/>Como um dia depois do outro<br/>Como um dia, um dia comum</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>Quem ocupa o trono tem culpa<br/>Quem oculta o crime também<br/>Quem duvida da vida tem culpa<br/>Quem evita a dúvida também tem</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>]"
Pra Ser Sincero,"[<p>Pra ser sincero<br/>Não espero de você<br/>Mais do que educação<br/>Beijos sem paixão<br/>Crime sem castigo<br/>Aperto de mãos<br/>Apenas bons amigos</p>, <p>Pra ser sincero<br/>Não espero que você<br/>Minta<br/>Não se sinta capaz<br/>De enganar<br/>Quem não engana<br/>A si mesmo</p>, <p>Nós dois temos<br/>Os mesmos defeitos<br/>Sabemos tudo<br/>A nosso respeito<br/>Somos suspeitos<br/>De um crime perfeito<br/>Mas crimes perfeitos<br/>Não deixam suspeitos</p>, <p>Pra ser sincero<br/>Não espero de você<br/>Mais do que educação<br/>Beijos sem paixão<br/>Crime sem castigo<br/>Aperto de mãos<br/>Apenas bons amigos</p>, <p>Pra ser sincero<br/>Não espero que você<br/>Me perdoe<br/>Por ter perdido a calma<br/>Por ter vendido a alma<br/>Ao diabo</p>, <p>Um dia desses<br/>Num desses<br/>Encontros casuais<br/>Talvez a gente<br/>Se encontre<br/>Talvez a gente<br/>Encontre explicação</p>, <p>Um dia desses<br/>Num desses<br/>Encontros casuais<br/>Talvez eu diga<br/>Minha amiga<br/>Pra ser sincero<br/>Prazer em vê-la<br/>Até mais</p>, <p>Nós dois temos<br/>Os mesmos defeitos<br/>Sabemos tudo<br/>A nosso respeito<br/>Somos suspeitos<br/>De um crime perfeito<br/>Mas crimes perfeitos<br/>Não deixam suspeitos</p>]"
Piano Bar,"[<p>O que você me pede eu não posso fazer<br/>Assim você me perde e eu perco você<br/>Como um barco perde o rumo<br/>Como uma árvore no outono perde a cor</p>, <p>O que você não pode, eu não vou te pedir<br/>O que você não quer, eu não quero insistir<br/>Diga a verdade, doa a quem doer<br/>Doe sangue e me dê seu telefone</p>, <p>Todos os dias eu venho ao mesmo lugar<br/>Às vezes fica longe, difícil de encontrar<br/>Mas quando o neon é bom<br/>Toda noite é noite de luar</p>, <p>No táxi que me trouxe até aqui<br/>O Júlio Iglesias me dava razão<br/>As últimas do esporte, hora certa, crime, religião<br/>Na verdade nada é uma palavra esperando tradução</p>, <p>Toda vez que falta luz<br/>Toda vez que algo nos falta<br/>O invisível nos salta aos olhos<br/>Um salto no escuro da piscina</p>, <p>O fogo ilumina muito, por muito pouco tempo<br/>E muito pouco tempo<br/>O fogo apaga tudo, tudo um dia vira luz<br/>Toda vez que falta luz, o invisível nos salta aos olhos</p>, <p>Ontem à noite, eu conheci uma guria<br/>Já era tarde, era quase dia<br/>Era o princípio num precipício<br/>Era o meu corpo que caía</p>, <p>Ontem à noite, a noite tava fria<br/>Tudo queimava, mas nada aquecia<br/>Ela apareceu, parecia tão sozinha<br/>Parecia que era minha aquela solidão</p>, <p>Ontem à noite eu conheci uma guria<br/>Que eu já conhecia de outros carnavais<br/>Com outras fantasias<br/>Ela apareceu, parecia tão sozinha<br/>Parecia que era minha aquela solidão</p>]"
