Musica,Letra
"Era Um Garoto, Que Como Eu, Amava Os Beatles e Os Rolling Stones","[<p>Era um garoto que como eu<br/>Amava os Beatles e os Rolling Stones<br/>Girava o mundo sempre a cantar<br/>As coisas lindas da América</p>, <p>Não era belo, mas mesmo assim<br/>Havia mil garotas a fim<br/>Cantava Help and Ticket to Ride<br/>Oh Lady Jane e Yesterday</p>, <p>Cantava viva à liberdade<br/>Mas uma carta, sem esperar<br/>Da sua guitarra o separou<br/>Fora chamado na América</p>, <p>Stop! Com Rolling Stones<br/>Stop! Com Beatles songs<br/>Mandado foi ao Vietnã<br/>Lutar com Vietcongs</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Era um garoto que como eu<br/>Amava os Beatles e os Rolling Stones<br/>Girava o mundo, mas acabou<br/>Fazendo a guerra no Vietnã</p>, <p>Cabelos longos não usa mais<br/>Não toca a sua guitarra, e sim<br/>Um instrumento que sempre dá<br/>A mesma nota, ra-tá-tá-tá</p>, <p>Não tem amigos, não vê garotas<br/>Só gente morta caindo ao chão<br/>Ao seu país não voltará<br/>Pois está morto no Vietnã</p>, <p>Stop! Com Rolling Stones<br/>Stop! Com Beatles songs<br/>No peito, um coração não há<br/>Mas duas medalhas sim</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Ratá-tá tá tá<br/>Ratá-tá tá tá</p>]"
Ninguém = Ninguém,"[<p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há tanta gente pelas ruas<br/>Há tantas ruas e nenhuma é igual a outra<br/>Ninguém é igual a ninguém<br/>Me espanta de tanta gente sinta<br/>Se é que sente a mesma indiferença</p>, <p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há palavras que nunca são ditas<br/>Há muitas vozes repetindo a mesma frase<br/>Ninguém é igual a ninguém<br/>Me espanta que tanta gente minta<br/>Descaradamente, a mesma mentira</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais</p>, <p>Há pouca água e muita sede<br/>Uma represa, um apartheid<br/>A vida seca, os olhos úmidos<br/>Entre duas pessoas<br/>Entre quatro paredes<br/>Tudo fica claro<br/>Ninguém fica indiferente<br/>Ninguém é igual a ninguém<br/>Me assusta que justamente agora<br/>Todo mundo, tanta gente, tenha ido embora</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Que os outros</p>, <p>O que encanta é que tanta gente<br/>Sinta, se é que sente, ou<br/>Minta desesperadamente<br/>Da mesma forma</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Todos iguais<br/>Tão desiguais</p>]"
Infinita Highway,"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
O Papa É Pop,"[<p>Todo mundo tá relendo o que nunca foi lido<br/>Todo mundo tá comprando os mais vendidos<br/>É qualquer nota, qualquer notícia<br/>Páginas em branco, fotos coloridas<br/>Qualquer nova, qualquer notícia<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Todo mundo tá revendo o que nunca foi visto<br/>Tá na cara, tá na capa da revista<br/>Qualquer nota, uma nota preta<br/>Páginas em branco, fotos coloridas<br/>Qualquer rota (rotatividade)<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Um disparo<br/>Um estouro</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>(O presidente é pop, um indigente é pop)<br/>O Papa é pop, o Papa é pop<br/>(Nós somos pop também)<br/>O pop não poupa ninguém<br/>(A minha mente é pop, a tua mente é pop)<br/>O Papa levou um tiro à queima roupa<br/>(O pop não poupa ninguém)<br/>O pop não poupa ninguém</p>, <p>Uma palavra na tua camiseta<br/>O planeta na tua cama<br/>Uma palavra escrita a lápis<br/>Eternidades da semana</p>, <p>Qualquer nota, qualquer notícia<br/>Páginas em branco, fotos coloridas<br/>Qualquer coisa quase nova<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Um disparo<br/>Um estouro</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>(O presidente é pop, um indigente é pop)<br/>O Papa é pop, o Papa é pop<br/>(Nós somos pop também)<br/>O pop não poupa ninguém<br/>(Antigamente é pop, atualmente é pop)<br/>O Papa levou um tiro à queima roupa<br/>(O pop não poupa ninguém)<br/>O pop não poupa ninguém</p>, <p>Toda catedral é populista, é pop<br/>É macumba pra turista<br/>E afinal, o que é rock'n'roll?<br/>Os óculos do John ou o olhar do Paul?</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa, o pop não poupa<br/>O pop não poupa ninguém</p>]"
Ando Só,"[<p>Ando só<br/>Pois só eu sei<br/>Pra onde ir<br/>Por onde andei<br/>Ando só<br/>Nem sei por que<br/>Não me pergunte<br/>O que eu não sei</p>, <p>Pergunte ao pó<br/>Desça o porão<br/>Siga aquele carro<br/>Ou as pegadas que eu deixei<br/>Pergunte ao pó<br/>Por onde andei<br/>Há um mapa dos meus passos<br/>Nos pedaços que eu deixei</p>, <p>Desate o nó<br/>Que te prendeu<br/>A uma pessoa que nunca te mereceu<br/>Desate o nó<br/>Que nos uniu<br/>Num desatino<br/>Um desafio</p>, <p>Ando só<br/>Como um pássaro voando<br/>Ando só<br/>Como se voasse em bando<br/>Ando só<br/>Pois só eu sei andar<br/>Sem saber até quando<br/>Ando só</p>]"
A Montanha,"[<p>Nem tão longe que eu não possa ver<br/>Nem tão perto que eu possa tocar<br/>Nem tão longe que eu não possa crer<br/>Que um dia chego lá<br/>Nem tão perto que eu possa acreditar<br/>Que o dia já chegou</p>, <p>No alto da montanha, num arranha-céu<br/>No alto da montanha, num arranha-céu</p>, <p>Se eu pudesse, ao menos te contar<br/>O que se enxerga lá do alto<br/>Com céu aberto, limpo e claro<br/>Ou com os olhos fechados<br/>Se eu pudesse ao menos te levar comigo lá</p>, <p>Pro alto da montanha, num arranha-céu<br/>Pro alto da montanha, num arranha-céu</p>, <p>Sem final feliz ou infeliz, atores sem papel<br/>No alto da montanha, à toa, ao léu</p>, <p>Nem tão longe, impossível<br/>Nem tampouco lá, já</p>, <p>No alto da montanha, num arranha-céu<br/>No alto da montanha, num arranha-céu</p>, <p>Sem final feliz ou infeliz, atores sem papel<br/>No alto da montanha, num arranha-céu</p>]"
Longe Demais Das Capitais,"[<p>Suave é a noite<br/>É a noite que eu saio<br/>Pra conhecer a cidade<br/>E me perder por aí</p>, <p>Nossa cidade é muito grande<br/>E tão pequena<br/>Tão distante do horizonte<br/>Do país</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>Suave é cidade<br/>Pra quem gosta da cidade<br/>Pra quem tem necessidade de se esconder</p>, <p>Nossa cidade é tão pequena<br/>E tão ingênua<br/>Estamos longe demais<br/>Das capitais</p>, <p>Longe demais das capitais<br/>Longe demais das capitais</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>O 3º sexo, a 3ª guerra, o 3º mundo</p>]"
Terra de Gigantes,"[<p>Ei, mãe!<br/>Eu tenho uma guitarra elétrica<br/>Durante muito tempo isso foi tudo<br/>Que eu queria ter</p>, <p>Mas, ei mãe!<br/>Alguma coisa ficou pra trás<br/>Antigamente eu sabia exatamente o que fazer</p>, <p>Ei, mãe!<br/>Tem uns amigos tocando comigo<br/>Eles são legais, além do mais<br/>Não querem nem saber</p>, <p>Mas agora, lá fora<br/>Todo mundo é uma ilha<br/>A milhas e milhas e milhas<br/>De qualquer lugar</p>, <p>Nessa terra de gigantes<br/>Eu sei, já ouvimos tudo isso antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>As revistas, as revoltas, as conquistas<br/>Da juventude são heranças<br/>São motivos pras mudanças de atitude<br/>Os discos, as danças, os riscos<br/>Da juventude<br/>A cara limpa, a roupa suja<br/>Esperando que o tempo mude</p>, <p>Nessa terra de gigantes<br/>Tudo isso já foi dito antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe!<br/>Já não esquento a cabeça<br/>Durante muito tempo<br/>Isso foi só o que eu podia fazer</p>, <p>Mas ei, ei, mãe!<br/>Por mais que a gente cresça<br/>Há sempre coisas que a gente<br/>Não pode entender</p>, <p>Por isso, mãe<br/>Só me acorda quando o Sol tiver se posto<br/>Eu não quero ver meu rosto<br/>Antes de anoitecer</p>, <p>Pois agora lá fora<br/>O mundo todo é uma ilha<br/>A milhas e milhas e milhas</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe<br/>(Ei, mãe)</p>]"
Alívio Imediato,"[<p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>Há espaço pra todos, há um imenso vazio<br/>Nesse espelho quebrado por alguém que partiu<br/>A noite cai de alturas impossíveis<br/>E quebra o silêncio e parte o coração</p>, <p>Há um muro de concreto entre nossos lábios<br/>Há um muro de Berlim dentro de mim<br/>Tudo se divide, todos se separam<br/>(Duas Alemanhas, duas Coreias)<br/>Tudo se divide, todos se separam</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>(Tudo se divide, tudo se separa<br/>Tudo se divide, tudo se separa)</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio<br/>Alívio<br/>Alívio<br/>Alívio</p>]"
Hora do Mergulho,"[<p>Feche a porta, esqueça o barulho<br/>Feche os olhos, tome ar<br/>É hora do mergulho!</p>, <p>Eu sou moço, seu moço, e o poço não é tão fundo</p>, <p>Super-homem, não supera a superfície<br/>Nós mortais viemos do fundo<br/>Eu sou velho, meu velho, tão velho quanto o mundo</p>, <p>Eu quero paz, uma trégua<br/>Do lilás-neon-Las Vegas<br/>Profundidade: 20. 000 léguas<br/>Se queres paz, te prepara para a guerra<br/>Se não queres nada, descansa em paz</p>, <p>Luz, pediu o poeta, últimas palavras, lucidez completa<br/>Depois silêncio</p>, <p>Esqueça a luz! Respire fundo!<br/>Eu sou um déspota esclarecido nessa escura e profunda mediocracia</p>]"
