Musica,Letra
A Revolta Dos Dândis (Parte I),"[<p>Entre um rosto e um retrato, o real e o abstrato<br/>Entre a loucura e a lucidez<br/>Entre o uniforme e a nudez<br/>Entre o fim do mundo e o fim do mês<br/>Entre a verdade e o rock inglês<br/>Entre os outros e vocês</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre mortos e feridos, entre gritos e gemidos<br/>(A mentira e a verdade, a solidão e a cidade)<br/>Entre um copo e outro da mesma bebida<br/>Entre tantos corpos com a mesma ferida</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre americanos e soviéticos, gregos e troianos<br/>Entra ano e sai ano, sempre os mesmos planos<br/>Entre a minha boca e a tua, há tanto tempo, há tantos planos<br/>Mas eu nunca sei pra onde vamos</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>]"
Terra De Gigantes,"[<p>Ei, mãe!<br/>Eu tenho uma guitarra elétrica<br/>Durante muito tempo isso foi tudo<br/>Que eu queria ter</p>, <p>Mas, ei mãe!<br/>Alguma coisa ficou pra trás<br/>Antigamente eu sabia exatamente o que fazer</p>, <p>Ei, mãe!<br/>Tem uns amigos tocando comigo<br/>Eles são legais, além do mais<br/>Não querem nem saber</p>, <p>Mas agora, lá fora<br/>Todo mundo é uma ilha<br/>A milhas e milhas e milhas<br/>De qualquer lugar</p>, <p>Nessa terra de gigantes<br/>Eu sei, já ouvimos tudo isso antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>As revistas, as revoltas, as conquistas<br/>Da juventude são heranças<br/>São motivos pras mudanças de atitude<br/>Os discos, as danças, os riscos<br/>Da juventude<br/>A cara limpa, a roupa suja<br/>Esperando que o tempo mude</p>, <p>Nessa terra de gigantes<br/>Tudo isso já foi dito antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe!<br/>Já não esquento a cabeça<br/>Durante muito tempo<br/>Isso foi só o que eu podia fazer</p>, <p>Mas ei, ei, mãe!<br/>Por mais que a gente cresça<br/>Há sempre coisas que a gente<br/>Não pode entender</p>, <p>Por isso, mãe<br/>Só me acorda quando o Sol tiver se posto<br/>Eu não quero ver meu rosto<br/>Antes de anoitecer</p>, <p>Pois agora lá fora<br/>O mundo todo é uma ilha<br/>A milhas e milhas e milhas</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe<br/>(Ei, mãe)</p>]"
Infinita Highway,"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
Refrão De Bolero,"[<p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Com um vinho barato<br/>Um cigarro no cinzeiro<br/>E uma cara embriagada<br/>No espelho do banheiro</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem os meus instintos mais sacanas<br/>O teu olhar sempre distante sempre me engana</p>, <p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Eu fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Ana, teus lábios são labirintos<br/>Ana, eu sigo a tua pista todo dia da semana<br/>Eu entro sempre na tua dança de cigana</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem meus instintos mais sacanas<br/>E o teu olhar sempre distante sempre me engana<br/>Eu sigo a tua pista todo dia da semana</p>, <p>Todo dia, todo dia<br/>Da semana</p>, <p>Eu sigo a tua pista todo dia da semana<br/>Ana!<br/>O que eu falei foi sem pensar<br/>Foi sem pensar!</p>]"
"Filmes De Guerra, Canções De Amor","[<p>Os dias parecem séculos<br/>Quando a gente anda em círculos<br/>Seguindo ideais ridículos<br/>De querer, lutar e poder</p>, <p>As roupas na lavanderia<br/>O analista passeando na Europa<br/>As encomendas na Bolívia<br/>E nas fotos um sorriso idiota</p>, <p>Os dias parecem séculos<br/>E se parecem uns com os outros<br/>Como enfermeiras em filmes de guerra<br/>E violinos em canções de amor</p>, <p>A seguir cenas obscenas<br/>Do próximo capítulo<br/>É só virar a página<br/>E o futuro virá</p>, <p>Filmes de guerra, canções de amor<br/>Manchetes de jornal, ou seja lá o que for<br/>Há sempre uma história infeliz<br/>Esperando uma atriz e um ator</p>, <p>Há vida na terra, há rumores no ar<br/>Dizendo que tudo vai acabar<br/>(Mais uma história infeliz)<br/>(Esperando um ator e uma atriz)</p>, <p>Não tenho medo de perder a guerra<br/>Pois no fim da guerra todos perdem<br/>No fim das contas as nações unidas<br/>Tão sempre prontas pra desunião</p>, <p>Não tenho medo de perder você<br/>Desde o início eu sabia<br/>Era só questão de dias<br/>Um dia iria acontecer</p>, <p>Preciso beber qualquer coisa<br/>Não me lembre que eu não bebo<br/>O que só nós dois sabemos<br/>Nós sabemos que é segredo</p>, <p>Há um guarda em cada esquina<br/>Esperando o sinal<br/>Pra transformar um banho de piscina<br/>Numa batalha naval</p>, <p>Agora sinto um medo infantil<br/>Mas na hora certa afundaremos o navio<br/>Então dê um copo de aguardente<br/>Para um corpo sentindo frio</p>, <p>Preciso beber qualquer coisa<br/>Você sabe que eu preciso<br/>E o que só nós dois sabemos<br/>Já não é mais segredo</p>, <p>Se alguém, seja lá quem for<br/>Tiver que morrer, na guerra ou no amor<br/>Não me peça pra entender<br/>Não me peça pra esquecer</p>, <p>Não me peça para entender<br/>Não me peça pra escolher<br/>Entre o fio ciumento da navalha<br/>E o frio de um campo de batalha</p>, <p>Chegamos ao fim do dia<br/>Chegamos, quem diria?<br/>Ninguém é bastante lúcido<br/>Pra andar tão rápido</p>, <p>Chegamos ao fim do século<br/>Voltamos enfim ao início<br/>Quando se anda em círculos<br/>Nunca se é bastante rápido</p>]"
A Revolta Dos Dândis (Parte II),"[<p>Já não vejo diferença entre os dedos e os anéis<br/>Já não vejo diferença entre a crença e os fiéis<br/>Tudo é igual quando se pensa<br/>Em como tudo deveria ser<br/>Há tão pouca diferença e há tanta coisa a fazer</p>, <p>Esquerda e direita, direitos e deveres<br/>Os Três Patetas, os três poderes<br/>Ascensão e queda, são dois lados da mesma moeda<br/>Tudo é igual quando se pensa<br/>Em como tudo poderia ser<br/>Há tão pouca diferença e há tanta coisa a escolher</p>, <p>Nossos sonhos são os mesmos há muito tempo<br/>Mas não há mais muito tempo pra sonhar</p>, <p>Pensei que houvesse um muro<br/>Entre o lado claro e o lado escuro<br/>Pensei que houvesse diferença<br/>Entre gritos e sussurros<br/>Mas foi um engano, foi tudo em vão<br/>Já não há mais diferença entre a raiva e a razão</p>, <p>Esquerda e direita, direitos e deveres<br/>Os três porquinhos, os três poderes<br/>Ascensão e queda, são dois lados da mesma moeda<br/>Tudo é igual quando se pensa<br/>Em como tudo deveria ser<br/>Há tantos sonhos a sonhar, há tantas vidas a viver</p>, <p>Nossos sonhos são os mesmos há muito tempo<br/>Mas não há mais muito tempo pra sonhar</p>]"
Além Dos Out-Doors,"[<p>Além dos outdoors<br/>Muito além dos outdoors<br/>Além dos outdoors</p>, <p>No ar da nossa aldeia<br/>Há rádio, cinema e televisão<br/>Mas o sangue só corre nas veias<br/>Por pura falta de opção</p>, <p>As aranhas não tecem suas teias<br/>Por loucura ou por paixão<br/>Se o sangue ainda corre nas veias<br/>É por pura falta de opção</p>, <p>Você sabe o que eu quero dizer<br/>Não tá escrito nos outdoors<br/>Por mais que a gente grite<br/>O silêncio é sempre maior</p>, <p>Você sabe o que eu quero dizer<br/>Não tá escrito nos outdoors<br/>Por mais que a gente grite<br/>O silêncio é sempre maior</p>, <p>No céu, além de nuvens<br/>Há sexo, drogas e palavrões<br/>As coisas mudam de nome<br/>Mas continuam sendo religiões</p>, <p>No dia a dia da nossa aldeia<br/>Há infelizes infartados de informação<br/>As coisas mudam de nome<br/>Mas continuam sendo o que sempre serão</p>, <p>Você sabe o que eu quero dizer<br/>Não tá escrito nos outdoors<br/>Por mais que a gente grite<br/>O silêncio é sempre maior</p>, <p>Você sabe o que eu quero dizer<br/>Não vale uma canção<br/>Por mais que a gente cante<br/>O silêncio é sempre maior</p>, <p>No ar da nossa aldeia<br/>Há mais do que poluição<br/>Há poucos que já foram<br/>E muitos que nunca serão</p>, <p>As aranhas não tecem suas teias<br/>Por loucura ou por paixão<br/>Se o sangue ainda corre nas veias<br/>É por pura falta de opção</p>, <p>Você sabe o que eu quero dizer<br/>Não tá escrito nos outdoors<br/>Por mais que a gente grite<br/>O silêncio, o silêncio</p>, <p>Você sabe o que eu quero dizer<br/>Não vale na canção<br/>Por pura falta de opção<br/>Púrpura é a cor do coração</p>, <p>Você sabe o que eu quero dizer<br/>Você sabe o que eu quero saber<br/>Você sabe dizer o que eu saber<br/>Você sabe saber o que eu quero dizer</p>]"
Vozes,"[<p>Se você ouvisse<br/>As vozes que ouço à noite<br/>Acharia tudo que eu faço natural</p>, <p>Se você sentisse<br/>O medo que eu sinto no escuro<br/>Se você soubesse<br/>O mal que o Sol me faz</p>, <p>Não me pediria pra repetir<br/>Revoltas banais das quais eu já me esqueci</p>, <p>Se você ouvisse<br/>As vozes que ouço à noite<br/>Às vezes me assustam<br/>Outras vezes me atraem</p>, <p>Se você sofresse<br/>Tanto quanto eu sofro com a solidão<br/>Se você soubesse<br/>O quanto eu preciso da solidão</p>, <p>Não me pediria pra repetir<br/>Frases banais das quais já me arrependi</p>, <p>Duas pessoas são duas verdades<br/>E, na verdade, são dois mundos<br/>A cada segundo, o pânico aumenta<br/>E uma sombra arrebenta a porta dos fundos</p>, <p>Se você sofresse tanto quanto eu sofro com a solidão<br/>E precisasse tanto quanto eu preciso da solidão<br/>Não me pediria pra repetir<br/>Gestos banais iguais aos que eu não fiz</p>, <p>As vozes oficiais dizem: Quem Sabe<br/>As vozes oficiais dizem: talvez<br/>As vozes oficiais dizem: Quem Sabe<br/>As vozes oficiais dizem: talvez<br/>Enquanto os livros e as revistas<br/>Mostram imagens sem nitidez<br/>Sem nitidez, sem nitidez, sem nitidez<br/>Quem sabe, quem sabe, quem sabe talvez<br/>Sem nitidez<br/>Quem sabe, quem sabe, quem sabe, quem sabe, quem sabe</p>]"
Quem Tem Pressa Não Se Interessa,"[<p>Quando você me olha<br/>Com seu olhar tranquilo<br/>Sempre diz que falta algo<br/>Ou isto ou aquilo<br/>Você não entende<br/>E se surpreende<br/>Seu olhar já não está tranquilo<br/>Mas quem tem pressa<br/>Não se interessa<br/>Por questões de estilo<br/>(Questões de estilo)</p>, <p>As vozes oficiais dizem<br/>Quem sabe<br/>Dizem: Talvez<br/>Enquanto os vídeos e as revistas<br/>Mostram imagens sem nitidez<br/>Você se espanta<br/>Há tanta coisa nos jornais!<br/>Mas quem tem pressa<br/>Não se interessa<br/>Em andar rápido demais<br/>(Rápido demais)</p>, <p>Eles têm razão<br/>Mas a razão é só que eles têm<br/>A lâmina ilumina a mão<br/>A lâmpada cria a escuridão<br/>Há muita grana atrás de uma canção<br/>Ninguém se engana com uma canção<br/>O tempo que nos gera também gera generais<br/>Mas o tempo nunca espera que cheguem os comerciais<br/>(Os comerciais)<br/>Som!</p>, <p>Nas veias abertas<br/>Da América menina<br/>Um mar vermelho de sangue<br/>Leva navios piratas<br/>Negociatas, concordatas<br/>Candidatos democratas<br/>Sucos e sucatas<br/>Ternos e gravatas<br/>Secando cataratas e lavando as mãos<br/>Dando a impressão de que<br/>Na areia movediça nada se desperdiça<br/>(Os comerciais)</p>]"
Desde Aquele Dia,"[<p>Desd'aquele dia<br/>Nada me sacia<br/>Minha vida tá vazia<br/>Desd'aquele dia<br/>Parece que foi ontem<br/>Parece que chovia<br/>Um rosto apareceu<br/>(Uma heroína)<br/>O rosto era o seu<br/>(Seu rosto de menina)<br/>Parece que foi ontem<br/>Parece que chovia</p>, <p>Desd'aquele dia<br/>Minhas noites são iguais<br/>Se eu não vou à luta<br/>Eu não tenho paz<br/>Se eu não faço guerra<br/>Eu não tenho mais paz<br/>Não aguento mais<br/>Um dia mais, um dia a menos<br/>São fatais<br/>Pra quem tem sonhos pequenos<br/>Sonhos tão pequenos<br/>Que nunca têm fim</p>, <p>Eu só queria saber<br/>O que você foi fazer no meu caminho<br/>Eu não consigo entender<br/>Não consigo mais viver sozinho</p>]"
