Musica,Letra
O Papa é Pop,"[<p>Todo mundo tá relendo o que nunca foi lido<br/>Todo mundo tá comprando os mais vendidos<br/>É qualquer nota, qualquer notícia<br/>Páginas em branco, fotos coloridas<br/>Qualquer nova, qualquer notícia<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Todo mundo tá revendo o que nunca foi visto<br/>Tá na cara, tá na capa da revista<br/>Qualquer nota, uma nota preta<br/>Páginas em branco, fotos coloridas<br/>Qualquer rota (rotatividade)<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Um disparo<br/>Um estouro</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>(O presidente é pop, um indigente é pop)<br/>O Papa é pop, o Papa é pop<br/>(Nós somos pop também)<br/>O pop não poupa ninguém<br/>(A minha mente é pop, a tua mente é pop)<br/>O Papa levou um tiro à queima roupa<br/>(O pop não poupa ninguém)<br/>O pop não poupa ninguém</p>, <p>Uma palavra na tua camiseta<br/>O planeta na tua cama<br/>Uma palavra escrita a lápis<br/>Eternidades da semana</p>, <p>Qualquer nota, qualquer notícia<br/>Páginas em branco, fotos coloridas<br/>Qualquer coisa quase nova<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Um disparo<br/>Um estouro</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>(O presidente é pop, um indigente é pop)<br/>O Papa é pop, o Papa é pop<br/>(Nós somos pop também)<br/>O pop não poupa ninguém<br/>(Antigamente é pop, atualmente é pop)<br/>O Papa levou um tiro à queima roupa<br/>(O pop não poupa ninguém)<br/>O pop não poupa ninguém</p>, <p>Toda catedral é populista, é pop<br/>É macumba pra turista<br/>E afinal, o que é rock'n'roll?<br/>Os óculos do John ou o olhar do Paul?</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa, o pop não poupa<br/>O pop não poupa ninguém</p>]"
Até o Fim,"[<p>Não vim até aqui<br/>Pra desistir agora<br/>Entendo você<br/>Se você quiser ir embora<br/>Não vai ser a primeira vez<br/>Nas últimas 24 horas<br/>Mas eu não vim até aqui<br/>Pra desistir agora</p>, <p>Minhas raízes estão no ar<br/>Minha casa é qualquer lugar<br/>Se depender de mim<br/>Eu vou até o fim<br/>Voando sem instrumentos<br/>Ao sabor do vento<br/>Se depender de mim<br/>Eu vou até o fim</p>, <p>Eu não vim até aqui<br/>Pra desistir agora<br/>Entendo você<br/>Se você quiser<br/>Ir embora<br/>Não vai ser a primeira vez<br/>Nas últimas 24 horas<br/>A ilha não se curva<br/>Noite adentro<br/>Vida afora</p>, <p>Toda a vida<br/>O dia inteiro<br/>Não seria exagero<br/>Se depender de mim<br/>Eu vou até o fim</p>, <p>Cada célula<br/>Todo fio de cabelo<br/>Falando assim<br/>Parece exagero<br/>Mas se depender de mim<br/>Eu vou até fim</p>, <p>Não vim até aqui pra desistir agora<br/>Não vim até aqui pra desistir agora</p>]"
Vida Real,"[<p>Cai a noite sobre a minha indecisão<br/>Sobrevoa o inferno minha timidez<br/>Um telefonema bastaria<br/>Passaria a limpo a vida inteira<br/>Cai a noite sem explicação<br/>Sem fazer a ligação</p>, <p>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer<br/>Ah vida real</p>, <p>Esperei chegar a hora certa<br/>Por acreditar que ela viria<br/>Deixei no ar a porta aberta<br/>No final de cada dia<br/>Cai a noite, doce escuridão<br/>De madura vai ao chão</p>, <p>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer<br/>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer</p>, <p>Ah vida real<br/>Ah vida real<br/>Como é que eu troco de canal?</p>, <p>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer<br/>Na hora da canção em que eles dizem samba<br/>Eu não soube o que dizer</p>, <p>Ah vida real<br/>Ah vida real<br/>Tchau!</p>]"
Infinita Highway,"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
Armas Químicas e Poemas,"[<p>Eu me lembro muito bem, como se fosse a manhã<br/>O sol nascendo sem saber o que iria iluminar<br/>Eu abri meu coração como se fosse um motor<br/>E na hora de voltar sobravam peças pelo chão<br/>Mesmo assim eu fui à luta, eu quis pagar pra ver</p>, <p>Aonde leva essa loucura<br/>Qual é a lógica do sistema<br/>Onde estavam as armas químicas<br/>O que diziam os poemas</p>, <p>Afinal de contas<br/>O que nos trouxe até aqui, medo ou coragem?<br/>Talvez nenhum dos dois<br/>Sopra o vento, o carro passa, pela praça<br/>E já foi, já foi<br/>Por acaso eu fui à luta, eu quis pagar pra ver</p>, <p>Aonde leva essa loucura<br/>Qual é a lógica do sistema<br/>Onde estavam as armas químicas<br/>O que diziam os poemas</p>, <p>O tempo nos faz esquecer o que nos trouxe até aqui<br/>Mas eu lembro muito bem como se fosse amanhã</p>, <p>Quem prometeu descanso em paz<br/>Pra depois dos comerciais?<br/>E quem ficou pedindo mais<br/>Armas químicas e poemas?</p>]"
O Preço,"[<p>O preço que se paga às vezes é alto demais<br/>É alta madrugada, já é tarde demais<br/>Pra pedir perdão<br/>Pra fingir que não foi mal</p>, <p>Uma luz se apaga no prédio em frente ao meu<br/>Sempre em frente, foi o conselho que ela me deu<br/>Sem me avisar que iria ficar pra trás</p>, <p>E agora eu pago os meus pecados por ter acreditado<br/>Que só se vive uma vez<br/>Eu pago meus pecados por ter acreditado<br/>Que só se vive uma vez<br/>Pensei que era liberdade, mas na verdade<br/>Eram as grades da prisão</p>, <p>O preço que se paga às vezes é alto demais<br/>É alta madrugada, já é tarde demais<br/>Mais uma luz se apaga no prédio em frente ao meu<br/>É a última janela iluminada<br/>Nada de anormal<br/>Amanhã ela vai voltar</p>, <p>Enquanto isso eu pago os meus pecados por ter acreditado<br/>Que só se vive uma vez<br/>Eu pago meus pecados por ter acreditado<br/>Que só se vive uma vez<br/>Pensei que era liberdade, mas na verdade<br/>Me enganei outra vez<br/>Outra vez</p>, <p>E agora eu pago os meus pecados por ter acreditado<br/>Que só se vive uma vez<br/>Eu pago meus pecados por ter acreditado<br/>Que só se vive uma vez<br/>Eu pago meus pecados por ter acreditado<br/>Que só se vive uma vez<br/>Pensei que era liberdade, mas na verdade<br/>Era só solidão</p>]"
Dom Quixote,"[<p>Muito prazer, meu nome é otário<br/>Vindo de outros tempos, mas sempre no horário<br/>Peixe fora d'água<br/>Borboletas no aquário</p>, <p>Muito prazer, meu nome é otário<br/>Na ponta dos cascos e fora do páreo<br/>Puro sangue<br/>Puxando carroça</p>, <p>Um prazer cada vez mais raro<br/>Aerodinâmica num tanque de guerra<br/>Vaidades que a terra<br/>Um dia há de comer</p>, <p>Ás de Espadas fora do baralho<br/>Grandes negócios, pequeno empresário<br/>Muito prazer<br/>Me chamam de otário</p>, <p>Por amor às causas perdidas<br/>Tudo bem, até pode ser<br/>Que os dragões sejam moinhos de vento<br/>Tudo bem, seja o que for<br/>Seja por amor às causas perdidas<br/>Por amor às causas perdidas</p>, <p>Tudo bem, até pode ser<br/>Que os dragões sejam moinhos de vento<br/>Muito prazer, ao seu dispor<br/>Se for por amor às causas perdidas<br/>Por amor às causas perdidas</p>]"
3 X 4,"[<p>Diga a verdade<br/>Ao menos uma vez na vida<br/>Você se apaixonou<br/>Pelos meus erros</p>, <p>Não fique pela metade<br/>Vá em frente, minha amiga<br/>Destrua a razão<br/>Deste beco sem saída</p>, <p>Diga a verdade<br/>Ponha o dedo na ferida<br/>Você se apaixonou<br/>Pelos meus erros</p>, <p>E eu perdi as chaves<br/>Mas que cabeça a minha<br/>Agora vai ter que ser<br/>Para toda a vida</p>, <p>Somos o que há de melhor<br/>Somos o que dá pra fazer<br/>O que não dá pra evitar<br/>E não se pode escolher</p>, <p>Se eu tivesse a força<br/>Que você pensa que eu tenho<br/>Eu gravaria no metal da minha pele<br/>O teu desenho</p>, <p>Feitos um pro outro<br/>Feitos pra durar<br/>Uma luz que não produz<br/>Sombra</p>, <p>O que não dá pra evitar<br/>E não se pode escolher</p>, <p>Somos o que há de melhor<br/>Somos o que dá pra fazer<br/>O que não dá pra evitar<br/>E não se pode escolher</p>]"
Refrão de Bolero,"[<p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Com um vinho barato<br/>Um cigarro no cinzeiro<br/>E uma cara embriagada<br/>No espelho do banheiro</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem os meus instintos mais sacanas<br/>O teu olhar sempre distante sempre me engana</p>, <p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Eu fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Ana, teus lábios são labirintos<br/>Ana, eu sigo a tua pista todo dia da semana<br/>Eu entro sempre na tua dança de cigana</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem meus instintos mais sacanas<br/>E o teu olhar sempre distante sempre me engana<br/>Eu sigo a tua pista todo dia da semana</p>, <p>Todo dia, todo dia<br/>Da semana</p>, <p>Eu sigo a tua pista todo dia da semana<br/>Ana!<br/>O que eu falei foi sem pensar<br/>Foi sem pensar!</p>]"
Surfando Karmas & DNA,"[<p>Quantas vezes eu estive<br/>Cara a cara com a pior metade?<br/>A lembrança no espelho<br/>A esperança na outra margem</p>, <p>Quantas vezes a gente sobrevive<br/>À hora da verdade?<br/>Na falta de algo melhor<br/>Nunca me faltou coragem</p>, <p>Se eu soubesse antes o que sei agora<br/>Erraria tudo exatamente igual</p>, <p>Tenho vivido um dia por semana<br/>Acaba a grana, mês ainda tem<br/>Sem passado nem futuro<br/>Eu vivo um dia de cada vez</p>, <p>Quantas vezes eu estive<br/>Cara a cara com a pior metade?<br/>Quantas vezes a gente sobrevive<br/>À hora da verdade?</p>, <p>Se eu soubesse antes o que sei agora<br/>Iria embora antes do final</p>, <p>Surfando karmas e DNA<br/>Eu não quero ter o que eu não tenho<br/>Eu não tenho medo de errar!</p>, <p>Surfando karmas e DNA<br/>Não quero ser o que eu não sou<br/>Eu não sou maior que o mar</p>, <p>Na falta do que fazer, inventei a minha liberdade!<br/>Surfando karmas e DNA</p>]"
