Musica,Letra
Nau À Deriva,"[<p>Nau à deriva<br/>No asfalto ou em alto mar<br/>""Perigo, perigo""<br/>Perdidos no espaço sideral<br/>Apocalipse now<br/>À deriva</p>, <p>Talvez um parto<br/>Talvez aborto<br/>Destroços da nave mãe</p>, <p>Nau à deriva<br/>No asfalto ou em alto mar<br/>""Perigo, perigo""<br/>Perdidos no espaço sideral<br/>Apocalipse now<br/>À deriva</p>, <p>Longe demais<br/>Do cais do porto<br/>Perto do caos<br/>Meu coração é um porta aviões<br/>Perdido no mar esperando alguém pousar<br/>Meu coração é um porto sem endereço certo<br/>É um deserto em pleno mar</p>]"
Alívio Imediato,"[<p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>Há espaço pra todos, há um imenso vazio<br/>Nesse espelho quebrado por alguém que partiu<br/>A noite cai de alturas impossíveis<br/>E quebra o silêncio e parte o coração</p>, <p>Há um muro de concreto entre nossos lábios<br/>Há um muro de Berlim dentro de mim<br/>Tudo se divide, todos se separam<br/>(Duas Alemanhas, duas Coreias)<br/>Tudo se divide, todos se separam</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>(Tudo se divide, tudo se separa<br/>Tudo se divide, tudo se separa)</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio<br/>Alívio<br/>Alívio<br/>Alívio</p>]"
A Revolta Dos Dândis (Parte I),"[<p>Entre um rosto e um retrato, o real e o abstrato<br/>Entre a loucura e a lucidez<br/>Entre o uniforme e a nudez<br/>Entre o fim do mundo e o fim do mês<br/>Entre a verdade e o rock inglês<br/>Entre os outros e vocês</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre mortos e feridos, entre gritos e gemidos<br/>(A mentira e a verdade, a solidão e a cidade)<br/>Entre um copo e outro da mesma bebida<br/>Entre tantos corpos com a mesma ferida</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre americanos e soviéticos, gregos e troianos<br/>Entra ano e sai ano, sempre os mesmos planos<br/>Entre a minha boca e a tua, há tanto tempo, há tantos planos<br/>Mas eu nunca sei pra onde vamos</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>]"
A Revolta Dos Dândis (Parte II),"[<p>Já não vejo diferença entre os dedos e os anéis<br/>Já não vejo diferença entre a crença e os fiéis<br/>Tudo é igual quando se pensa<br/>Em como tudo deveria ser<br/>Há tão pouca diferença e há tanta coisa a fazer</p>, <p>Esquerda e direita, direitos e deveres<br/>Os Três Patetas, os três poderes<br/>Ascensão e queda, são dois lados da mesma moeda<br/>Tudo é igual quando se pensa<br/>Em como tudo poderia ser<br/>Há tão pouca diferença e há tanta coisa a escolher</p>, <p>Nossos sonhos são os mesmos há muito tempo<br/>Mas não há mais muito tempo pra sonhar</p>, <p>Pensei que houvesse um muro<br/>Entre o lado claro e o lado escuro<br/>Pensei que houvesse diferença<br/>Entre gritos e sussurros<br/>Mas foi um engano, foi tudo em vão<br/>Já não há mais diferença entre a raiva e a razão</p>, <p>Esquerda e direita, direitos e deveres<br/>Os três porquinhos, os três poderes<br/>Ascensão e queda, são dois lados da mesma moeda<br/>Tudo é igual quando se pensa<br/>Em como tudo deveria ser<br/>Há tantos sonhos a sonhar, há tantas vidas a viver</p>, <p>Nossos sonhos são os mesmos há muito tempo<br/>Mas não há mais muito tempo pra sonhar</p>]"
Infinita Highway,"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
A Verdade A Ver Navios,"[<p>Na hora ""h""<br/>No dia ""d""<br/>Na hora de pagar pra ver<br/>Ninguém diz o que disse<br/>(não era bem assim)</p>, <p>Na hora ""h""<br/>No dia ""d""<br/>Na hora de acender a luz<br/>Ninguém dá nome aos bois<br/>(tudo fica pra depois)</p>, <p>Na hora ""h""<br/>No dia ""d""<br/>Ninguém paga pra ver<br/>Tudo fica pra trás<br/>Querem mais é esquecer</p>, <p>Mas é impossível repetir<br/>O que só acontece uma vez<br/>É impossível reprimir<br/>O que acontece toda vez<br/>Que alguém acorda<br/>Porque já não aguenta mais<br/>E a corda arrebenta<br/>No lado mais forte</p>, <p>É muito engraçado<br/>Que todos tenham os mesmos sonhos<br/>E que o sonho nunca vire realidade</p>, <p>É muito engraçado<br/>Que estejam do mesmo lado<br/>Os que querem iluminar<br/>E os que querem iludir</p>, <p>É muito engraçado<br/>Que todo mundo tenha<br/>Armas capazes de tudo<br/>De todo mundo acabar<br/>No dia ""d"", na hora ""h""</p>, <p>Mas é impossível repetir<br/>O que só acontece uma vez<br/>É impossível reprimir<br/>O que acontece toda vez<br/>Que alguém acorda<br/>Porque já não aguenta mais<br/>E a corda arrebenta<br/>No lado mais forte</p>, <p>É impossível repetir<br/>O que só acontece uma vez<br/>É impossível reprimir<br/>O que acontece toda vez<br/>Que chega a hora<br/>De dizer chega...</p>, <p>... a hora...<br/>... de dizer chega...</p>, <p>Não pagar pra ver<br/>A verdade a ver navios<br/>Onde já se viu?</p>]"
Toda Forma De Poder,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Terra De Gigantes,"[<p>Ei, mãe!<br/>Eu tenho uma guitarra elétrica<br/>Durante muito tempo isso foi tudo<br/>Que eu queria ter</p>, <p>Mas, ei mãe!<br/>Alguma coisa ficou pra trás<br/>Antigamente eu sabia exatamente o que fazer</p>, <p>Ei, mãe!<br/>Tem uns amigos tocando comigo<br/>Eles são legais, além do mais<br/>Não querem nem saber</p>, <p>Mas agora, lá fora<br/>Todo mundo é uma ilha<br/>A milhas e milhas e milhas<br/>De qualquer lugar</p>, <p>Nessa terra de gigantes<br/>Eu sei, já ouvimos tudo isso antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>As revistas, as revoltas, as conquistas<br/>Da juventude são heranças<br/>São motivos pras mudanças de atitude<br/>Os discos, as danças, os riscos<br/>Da juventude<br/>A cara limpa, a roupa suja<br/>Esperando que o tempo mude</p>, <p>Nessa terra de gigantes<br/>Tudo isso já foi dito antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe!<br/>Já não esquento a cabeça<br/>Durante muito tempo<br/>Isso foi só o que eu podia fazer</p>, <p>Mas ei, ei, mãe!<br/>Por mais que a gente cresça<br/>Há sempre coisas que a gente<br/>Não pode entender</p>, <p>Por isso, mãe<br/>Só me acorda quando o Sol tiver se posto<br/>Eu não quero ver meu rosto<br/>Antes de anoitecer</p>, <p>Pois agora lá fora<br/>O mundo todo é uma ilha<br/>A milhas e milhas e milhas</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe<br/>(Ei, mãe)</p>]"
Somos Quem Podemos Ser,"[<p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Um dia me disseram<br/>Que os ventos às vezes erram a direção</p>, <p>E tudo ficou tão claro<br/>Um intervalo na escuridão<br/>Uma estrela de brilho raro<br/>Um disparo para um coração</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Quem eram os donos da situação<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>E tudo ficou tão claro<br/>O que era raro ficou comum<br/>Como um dia depois do outro<br/>Como um dia, um dia comum</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>Quem ocupa o trono tem culpa<br/>Quem oculta o crime também<br/>Quem duvida da vida tem culpa<br/>Quem evita a dúvida também tem</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>]"
"Ouça O Que Eu Digo, Não Ouça Ninguém","[<p>Tantas pessoas<br/>Paradas na esquina<br/>Assistindo a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Vendendo muito mais<br/>Do que queria vender</p>, <p>Vozes à toa<br/>Ecos na esquina<br/>Narrando a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Precisando de mais<br/>Venenos mortais</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te imploraram por favor não vire a mesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Tantas pessoas<br/>Paradas na esquina<br/>Fingindo pena:<br/>Criança pequena<br/>Cheirando cola<br/>Beijando a sola, do sapato</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te disseram pra esperar a sobremesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Ouça o que eu digo: não ouça ninguém</p>]"
