Musica,Letra
Camuflagem,"[<p>Foto de satélite,<br/>Visão de raio x,<br/>Cães farejadores,<br/>Detectores de metal,<br/>Currículo escolar,<br/>Teste de QI, previsões do tempo no telejornal</p>, <p>Não captarão, não captarão</p>, <p>Capa de revista, lista de 10 mais, grampo telefônico, malha fina, a lei da selva e dos tribunais, leitura de mão, regressão a outras vidas</p>, <p>Não captarão, não captarão</p>, <p>Sem soar o alarme, sem fazer alarde, vai passar batido, despercebido, talvez até já tenha acontecido</p>, <p>Sondas e radares não captarão, revisores ortográficos também não, pesquisa de opinião,<br/>Câmera escondida,<br/>Os caras ligados se atrasarão</p>, <p>Não captarão, não captarão</p>, <p>Sem soar o alarme, sem fazer alarde, vai passar batido, despercebido, talvez até já tenha acontecido</p>, <p>Sem soar o alarme, sem fazer alarde<br/>Sem bater na porta, sem mandar aviso<br/>Sem passar recibo, sem hora certa<br/>Vai passar batido, despercebido<br/>Talvez até já tenha acontecido</p>]"
Duas Noites No Deserto,"[<p>Aprendi contigo<br/>A navegar<br/>Em qualquer tempo, qualquer mar</p>, <p>Aprendi contigo<br/>A desarmar as armadilhas do caminho</p>, <p>Um ciclone atravessou as nossas vidas<br/>De repente tudo fora do lugar<br/>Hoje eu sei, só a mudança é permanente<br/>De repente tudo está no seu lugar</p>, <p>Um fim de semana em outro mundo<br/>Pode ser a salvação</p>, <p>Pode ser loucura<br/>Acreditar que ainda exista salvação</p>, <p>Só se for contigo<br/>Só contigo<br/>Duas noites no deserto</p>, <p>Um ciclone atravessou as nossas vidas<br/>De repente tudo fora do lugar<br/>Hoje eu sei, só a mudança é permanente<br/>De repente tudo está no seu lugar</p>, <p>[duas noites no deserto]<br/>Segunda-feira tudo está no seu lugar</p>]"
Rota De Colisão,"[<p>As fases da lua<br/>A crise dos mercados<br/>O movimento das marés<br/>A hora da verdade<br/>A idade da razão<br/>A diferença do que se pensa e o que se faz</p>, <p>Isso nos coloca em rota de colisão<br/>Estamos em rota de colisão<br/>Isso nos coloca em rota de colisão<br/>Estamos em rota de colisão</p>, <p>""Ao encontro de"", ""de encontro a""<br/>Seja o que for<br/>O bom português não vai nos salvar<br/>O lado escuro da lua<br/>As luzes da cidade<br/>A diferença do que se pensa e o que se faz</p>, <p>Isso nos coloca em rota de colisão<br/>Estamos em rota de colisão<br/>Isso nos coloca em rota de colisão<br/>Estamos em rota de colisão</p>, <p>Seja o que for<br/>Isso nos coloca em rota de colisão<br/>Isso nos coloca em rota de colisão<br/>Tudo isso nos coloca em rota de colisão</p>, <p>Seja o que for<br/>Isso nos coloca em rota de colisão<br/>Isso nos coloca em rota de colisão<br/>Tudo isso nos coloca em rota de colisão<br/>Rota de colisão</p>]"
Dançando No Campo Minado,"[<p>Eu devo estar ficando louco<br/>Será que eu escutei errado?<br/>A vida no maior sufoco<br/>E os caras de papo furado</p>, <p>Todo cuidado é pouco<br/>Nem pense em ficar parado<br/>Estamos no melhor da festa<br/>Dançando no campo minado</p>, <p>Os sinais estão no ar<br/>Nas esquinas do país<br/>Mensagem pelo celular<br/>Água batendo no nariz</p>, <p>Eu devo estar ficando louco<br/>Será que eu escutei errado?<br/>A vida no maior sufoco<br/>E os caras de papo furado</p>, <p>Será que eu vivo em outro mundo<br/>Distante e inexplorado?<br/>Na hora da invasão: Silêncio!<br/>Dançamos no campo minado</p>, <p>Os sinais estão no ar<br/>No chão da praça da matriz<br/>Mensagem pelo celular<br/>Cortar o mal pela raiz</p>, <p>Os sinais estão no ar<br/>Os sinais estão no ar</p>]"
Segunda-Feira Blues I,"[<p>Onde estão os caras que lutavam dia-a-dia sem perder a ternura jamais ?<br/>Onde estão os caras que desmaterializavam moedas de dez mil reais ?<br/>Onde estão os caras que desconheciam limites ... universal e singular ?<br/>Onde estão os caras que desenhavam novas cidades<br/>Em guardanapos na mesa de um bar?</p>, <p>Onde estão as provas, onde estão os fatos ?<br/>As boas novas eram só boatos ?<br/>Onde estão os atos de bravura e rebeldia (ternura guerreada dia-a-dia) ?<br/>? será que estamos sós ?</p>, <p>Onde estão os caras que pregavam no deserto ?<br/>(o deserto continua lá)<br/>Onde estão os caras que deixavam as portas abertas para a vida poder circular ?<br/>Onde está o teatro mágico só para iniciados ?<br/>Onde está o espaço não privatizado ?<br/>Onde estão os caras que acenavam com a mão invisível um mercado para todos nós ?</p>, <p>Onde estão as provas, onde estão os fatos ?<br/>As boas novas eram só boatos ?<br/>Onde estão os caras que lutavam e cantavam ?( por um mundo ideal eles gritavam : ! não estamos sós ! )</p>, <p>Onde estão os caras que diziam que a guerra ia acabar ?<br/>Onde estão os caras que diziam que a maré ia virar ?<br/>Onde estão os caras que espalharam o vírus, prometeram a cura e viraram as costas ?<br/>Onde está o outro ? onde está o diferente ? onde está o comum a toda gente?</p>, <p>Onde estão as provas, onde estão os fatos ?<br/>As boas novas eram só boatos ?<br/>Onde estão as provas, onde estão os fatos ?</p>]"
Dom Quixote,"[<p>Muito prazer, meu nome é otário<br/>Vindo de outros tempos, mas sempre no horário<br/>Peixe fora d'água<br/>Borboletas no aquário</p>, <p>Muito prazer, meu nome é otário<br/>Na ponta dos cascos e fora do páreo<br/>Puro sangue<br/>Puxando carroça</p>, <p>Um prazer cada vez mais raro<br/>Aerodinâmica num tanque de guerra<br/>Vaidades que a terra<br/>Um dia há de comer</p>, <p>Ás de Espadas fora do baralho<br/>Grandes negócios, pequeno empresário<br/>Muito prazer<br/>Me chamam de otário</p>, <p>Por amor às causas perdidas<br/>Tudo bem, até pode ser<br/>Que os dragões sejam moinhos de vento<br/>Tudo bem, seja o que for<br/>Seja por amor às causas perdidas<br/>Por amor às causas perdidas</p>, <p>Tudo bem, até pode ser<br/>Que os dragões sejam moinhos de vento<br/>Muito prazer, ao seu dispor<br/>Se for por amor às causas perdidas<br/>Por amor às causas perdidas</p>]"
Até O Fim,"[<p>Não vim até aqui<br/>Pra desistir agora<br/>Entendo você<br/>Se você quiser ir embora<br/>Não vai ser a primeira vez<br/>Nas últimas 24 horas<br/>Mas eu não vim até aqui<br/>Pra desistir agora</p>, <p>Minhas raízes estão no ar<br/>Minha casa é qualquer lugar<br/>Se depender de mim<br/>Eu vou até o fim<br/>Voando sem instrumentos<br/>Ao sabor do vento<br/>Se depender de mim<br/>Eu vou até o fim</p>, <p>Eu não vim até aqui<br/>Pra desistir agora<br/>Entendo você<br/>Se você quiser<br/>Ir embora<br/>Não vai ser a primeira vez<br/>Nas últimas 24 horas<br/>A ilha não se curva<br/>Noite adentro<br/>Vida afora</p>, <p>Toda a vida<br/>O dia inteiro<br/>Não seria exagero<br/>Se depender de mim<br/>Eu vou até o fim</p>, <p>Cada célula<br/>Todo fio de cabelo<br/>Falando assim<br/>Parece exagero<br/>Mas se depender de mim<br/>Eu vou até fim</p>, <p>Não vim até aqui pra desistir agora<br/>Não vim até aqui pra desistir agora</p>]"
Na Veia,"[<p>Se você perguntar por mim<br/>Vão dizer que eu ando muito estranho<br/>Vão dizer que eu ando por aí<br/>Quando você perguntar por mim</p>, <p>Se você perguntar por mim<br/>Vão dizer as coisas mais estranhas<br/>Nenhuma resposta vai satisfazer<br/>Quando você perguntar por mim<br/>Vem!<br/>Ver com os próprios olhos<br/>Vem!<br/>Ver a vida como ela é</p>, <p>Se você está mesmo a fim<br/>De saber por onde eu ando<br/>De saber por quê eu ando assim<br/>É melhor nem perguntar por mim<br/>Vem<br/>Ver com os próprios olhos<br/>Vem<br/>Ver a vida como ela é</p>, <p>Sem filtro, na veia<br/>Sem filtro, na veia<br/>Vem!<br/>Ver com os próprios olhos<br/>Vem!<br/>Ver a vida como ela é</p>]"
Fusão À Frio,"[<p>Ninguém sabe como serão os filhos desse casamento<br/>Indústria da informação + indústria do entretenimento</p>, <p>Promessas de fusão à frio, desvio de comportamento<br/>Indústria da informação + indústria do entretenimento</p>, <p>Ninguém sabe como serão os filhos desse casamento<br/>Indústria da informação + indústria do entretenimento</p>, <p>Promesas de fusão à frio, diversão e conhecimento<br/>A única escolha que temos é a forma de pagamento</p>, <p>Em doses homeopáticas, em escala industrial<br/>Tudo acaba em samba, é sempre carnaval<br/>Tudo acaba em sombras, é sempre vendaval<br/>Em doses homeopáticas, em escala industrial<br/>Tudo acaba em samba, é sempre carnaval</p>, <p>Tudo acaba em samba, é sempre carnaval<br/>Tudo acaba em sombras, é sempre vendaval<br/>Em doses homeopáticas, em escala industrial</p>]"
Segunda-Feira Blues II,"[<p>Onde estão os caras que lutavam dia-a-dia sem perder a ternura jamais ?<br/>Onde estão os caras que desmaterializavam moedas de dez mil reais ?<br/>Onde estão os caras que desconheciam limites ... universal e singular ?<br/>Onde estão os caras que desenhavam novas cidades<br/>Em guardanapos na mesa de um bar?</p>, <p>Onde estão as provas, onde estão os fatos ?<br/>As boas novas eram só boatos ?<br/>Onde estão os atos de bravura e rebeldia (ternura guerreada dia-a-dia) ?<br/>? será que estamos sós ?</p>, <p>Onde estão os caras que pregavam no deserto ?<br/>(o deserto continua lá)<br/>Onde estão os caras que deixavam as portas abertas para a vida poder circular ?<br/>Onde está o teatro mágico só para iniciados ?<br/>Onde está o espaço não privatizado ?<br/>Onde estão os caras que acenavam com a mão invisível um mercado para todos nós ?</p>, <p>Onde estão as provas, onde estão os fatos ?<br/>As boas novas eram só boatos ?<br/>Onde estão os caras que lutavam e cantavam ?( por um mundo ideal eles gritavam : ! não estamos sós ! )</p>, <p>Onde estão os caras que diziam que a guerra ia acabar ?<br/>Onde estão os caras que diziam que a maré ia virar ?<br/>Onde estão os caras que espalharam o vírus, prometeram a cura e viraram as costas ?<br/>Onde está o outro ? onde está o diferente ? onde está o comum a toda gente?</p>, <p>Onde estão as provas, onde estão os fatos ?<br/>As boas novas eram só boatos ?<br/>Onde estão as provas, onde estão os fatos ?</p>]"
Outono Em Porto Alegre,"[<p>Nem tudo está perdido<br/>Nem sinal de pedra no peito<br/>O horóscopo do jornal arriscou um belo dia<br/>Liguei o rádio na hora certa<br/>Era a canção que eu queria</p>, <p>Nem tudo está perdido<br/>Tudo em paz no reino da química<br/>Ninguém me telefonou enquanto eu dormia<br/>Sonhei com meu pai e ele sorria<br/>Chimarrão pra acordar era só o que eu queria</p>, <p>Veja você, que surpresa, que coisa incrível<br/>Descobri que sou feliz<br/>Veja você, quem diria, que ironia<br/>Sem você eu sou feliz</p>, <p>Nem tudo está perdido<br/>Outono em Porto Alegre<br/>Sou o dono dos meus passos sobre folhas mortas<br/>O mundo fica pra outro dia<br/>Andar por aí era tudo que eu queria</p>, <p>Veja você, que surpresa, que coisa incrível<br/>Descobri que sou feliz<br/>Veja você, quem diria, que ironia<br/>Sem você eu sou feliz</p>]"
