Musica,Letra
Toda Forma De Poder,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Segurança,"[<p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>Ele era o tal, cheio de moral, bon vivant<br/>Parecia um galã, usando óculos Ray-Ban (Don Juan)<br/>Corria em Tarumã, combateu no Vietnã (ra ta ta ta)<br/>Vestia Yves Saint-Laurent (Pierre Cardin)</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>Ele era o tal, um cara tão legal, e fascinava você<br/>Tinha um Puma-GT com vidro fumê<br/>Tinha sauna no apê, só pra você ver (pode crer)<br/>Lutava karatê como nos filmes da TV</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>E o que mais emociona é que tudo nasceu<br/>Numa carona que ele te deu<br/>O que mais me impressiona é que tudo se deu<br/>No banco traseiro de um Alfa Romeo</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança<br/>Você precisa de alguém que te dê segurança<br/>Senão você dança, senão você dança</p>, <p>Você precisa de alguém que te dê segurança<br/>Senão você se cansa e rança<br/>Você precisa de alguém que te dê segurança<br/>Senão você</p>]"
Eu Ligo Pra Você,"[<p>Eu vivia esperando a vida aparecer no Jornal Nacional<br/>Com o olhar preso no vídeo<br/>eu esperava o suicídio de algum boçal<br/>Você apareceu e disse<br/>Cara, eu prefiro outros canais<br/>Você apareceu com sua cara em todos os comerciais</p>, <p>Eu vivia esperando a vida aparecer no Jornal Nacional<br/>Com o olhar preso no vídeo<br/>eu esperava o suicídio de algum boçal<br/>Você apareceu e disse<br/>Cara, eu prefiro outros canais<br/>Você apareceu com sua cara em todos os comerciais</p>, <p>Eu ligo a TV, desligo a TV e ligo pra você<br/>Eu digo que consigo, mas não consigo te esquecer<br/>Eu ligo a TV, desligo a TV e ligo pra você<br/>Eu digo que consigo, mas não consigo te esquecer</p>, <p>Você aparecia em filmes classe C, em filmes tão banais<br/>Você aparecia e desaparecia e eu já não te via mais<br/>Eu te perseguia, mexendo na antena<br/>Mudando o canal<br/>Mas você sempre fugia, não sentia pena<br/>Me deixava muito mal</p>, <p>Você aparecia em filmes classe C, em filmes tão banais<br/>Você aparecia e desaparecia e eu já não te via mais<br/>Eu te perseguia, mexendo na antena<br/>Mudando o canal<br/>Eu te perseguia, você não tinha pena<br/>Me deixava muito mal</p>, <p>Eu ligo a TV, desligo a TV e ligo pra você<br/>Eu digo que consigo, mas não consigo te esquecer<br/>Eu ligo a TV, desligo a TV e ligo pra você<br/>Eu digo que consigo, mas não consigo te esquecer</p>, <p>Eu preciso te ver, eu preciso te ver<br/>Eu preciso do teu sorriso<br/>Você sabe que eu preciso</p>, <p>Eu preciso te ver, eu preciso te ver<br/>Eu preciso do teu sorriso<br/>Você sabe que eu preciso</p>, <p>Eu preciso te ver, eu preciso te ver<br/>Eu preciso do teu sorriso<br/>Você sabe que eu preciso</p>]"
Nossas Vidas,"[<p>A gente faz de tudo<br/>Mas nada faz sentido<br/>Nem as luzes da cidade<br/>Nem o escuro de um abrigo</p>, <p>A gente faz de tudo<br/>Mas nada faz sentido<br/>Nem a existência de uma guerra<br/>Nem a violência do inimigo</p>, <p>Não posso entender o que fizeram com nossas vidas<br/>Não posso entender por que viramos suicidas<br/>Oh! Oh! ""O que fizeram com nossas vidas?""<br/>Oh! Oh! ""Por que viramos suicidas?""</p>, <p>Eu ando tão vazio, tão cheio de vícios<br/>E o fim da linha, é só o início<br/>De uma nova linha, de um novo mundo<br/>De um dia-a-dia cada vez mais absurdo</p>, <p>Eu já pensei em mandar tudo pro espaço<br/>Eu já pensei em mandar tudo pro inferno<br/>Mas não pensei que fosse tão difícil<br/>Ficar sozinho numa noite de inverno</p>, <p>Não posso entender o que fizeram com nossas vidas<br/>Não posso entender por que viramos suicidas<br/>Oh! Oh! ""O que fizeram com nossas vidas?""<br/>Oh! Oh! ""Por que viramos suicidas?""</p>]"
Fé Nenhuma,"[<p>Não levo fé nenhuma em nada!<br/>Não levo fé nenhuma em nada!</p>, <p>Mas ninguém tem o direito<br/>De me achar reacionário<br/>Não acredito no teu jeito<br/>Revolucionário</p>, <p>Eu sei que você acredita<br/>Nas notícias do jornal<br/>Mas tudo isso me irrita<br/>Me enoja e me faz mal</p>, <p>Por incrível que pareça<br/>Teu discurso é tão seguro<br/>Talvez você esqueça:<br/>Você também não tem futuro</p>, <p>Não levo fé nenhuma em nada!<br/>Não levo fé nenhuma em nada!</p>, <p>Você quer me pôr no agito<br/>No movimento estudantil<br/>Mas eu não acredito<br/>No futuro do Brasil</p>, <p>Eu não vou morrer de fome<br/>Eu não vou morrer de tédio<br/>Eu não vou morrer pensando <br/>Qual seria o remédio</p>, <p>Sei de cor seus comentários<br/>Sobre o mal da alienação<br/>Mas eu não vivo de salário<br/>Eu não vivo de ilusão</p>, <p>Não levo fé nenhuma em nada!</p>]"
Beijos Pra Torcida,"[<p>quando eu abro a janela<br/>quando eu abro o jornal<br/>eu vejo a cara dela:<br/>a terceira guerra mundial</p>, <p>jogam bombas em nova iorque<br/>jogam bombas em moscou<br/>como se jogassem beijos pra torcida<br/>depois de marcar um gol</p>, <p>falam tanto sobre guerra e paz<br/>mas tanto faz falar ou não<br/>todas as bombas e os generais<br/>são restos mortais da civilização</p>, <p>rebeldes sem rebeldia<br/>viciados em anestesia<br/>fantasmas sem fantasia<br/>gripados na guerra fria</p>, <p>pão e circo, que pé no saco<br/>quem não fica frio, fica fraco<br/>procuro entender qualé a desses caras<br/>procuro um cigarro no bolso do casaco</p>, <p>em todo lugar, um pedaço do fim<br/>um furo de bala, um muro de berlim<br/>muito sangue sai da tela do drive-in:<br/>um filme de guerra, um filme sem fim</p>]"
Toda Forma de Poder,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Longe Demais Das Capitais,"[<p>Suave é a noite<br/>É a noite que eu saio<br/>Pra conhecer a cidade<br/>E me perder por aí</p>, <p>Nossa cidade é muito grande<br/>E tão pequena<br/>Tão distante do horizonte<br/>Do país</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>Suave é cidade<br/>Pra quem gosta da cidade<br/>Pra quem tem necessidade de se esconder</p>, <p>Nossa cidade é tão pequena<br/>E tão ingênua<br/>Estamos longe demais<br/>Das capitais</p>, <p>Longe demais das capitais<br/>Longe demais das capitais</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>O 3º sexo, a 3ª guerra, o 3º mundo</p>]"
Sweet Begonia,"[<p>Você diz que eu sou louco<br/>Eu digo: ""Louca é você""<br/>Você diz que eu tenho pouco,<br/>Quase nada a oferecer<br/>Tudo que eu faço<br/>Você diz que tá errado<br/>Você me acha um fracasso,<br/>Eu não acho isso engraçado</p>, <p>Mais uma pergunta fica sem resposta<br/>Mais uma proposta pra gente ficar junto<br/>Você muda de assunto e eu te pergunto por quê?<br/>Eu te pergunto por quê?<br/>Eu te pergunto por quê?</p>, <p>Eu não te entendo<br/>Mas já dependo de ti<br/>Eu não te esqueço<br/>Mas nem teu endereço eu consegui<br/>Eu te procuro<br/>Tá tão escuro aqui<br/>Eu fico confuso<br/>Eu entro em parafuso</p>, <p>Mais uma pergunta fica sem resposta<br/>Mais uma proposta pra gente ficar junto<br/>Você muda de assunto e eu te pergunto por quê?<br/>Eu te pergunto por quê?</p>]"
Nada A Ver,"[<p>Um cão sem dono, uma árvore no outono<br/>O nono mês de gravidez<br/>Eu perco o sono, ao som de Yoko Ono<br/>E telefono pra vocês</p>, <p>Às vezes eu acordo assustado<br/>(A gente não tem nada a ver)<br/>Mas quando eu te vejo do meu lado<br/>(A gente não tem nada a perder)<br/>De dia eu não te vejo nem desejo<br/>Eu vejo que não dá<br/>(A gente não tem nada a ver)<br/>Toda a noite, a noite inteira, eu penso em ti<br/>Eu penso em te encontrar<br/>(A gente não tem nada a perder)</p>, <p>Nada a ver, nada a perder<br/>Nada a fazer, nada não</p>, <p>Sinto tanto, sinto muito, no meu canto<br/>Enquanto a noite cai<br/>(A gente não tem nada a ver)<br/>Sinto saudade, é verdade, nunca é tarde<br/>Enquanto a chuva cai<br/>(A gente não tem nada a perder)<br/>Eu fico sem saber o que vai ser, o que fazer<br/>Amanhã de manhã<br/>(A gente não tem nada a ver)<br/>Eu sonho com elegância, arrogância<br/>Extravagância do Duran Duran<br/>(A gente não tem nada a perder)</p>, <p>Nada a ver, nada a perder<br/>Nada a fazer, nada não</p>, <p>Às vezes eu acordo assustado<br/>Às vezes eu acordo do teu lado<br/>Às vezes eu fico acordado<br/>Às vezes eu te vejo<br/>Às vezes eu te beijo<br/>Às vezes eu te desejo<br/>Às vezes eu</p>, <p>Nada a ver, nada a perder</p>]"
