Musica,Letra
Toda Forma de Poder,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Longe Demais das Capitais,"[<p>Suave é a noite<br/>É a noite que eu saio<br/>Pra conhecer a cidade<br/>E me perder por aí</p>, <p>Nossa cidade é muito grande<br/>E tão pequena<br/>Tão distante do horizonte<br/>Do país</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>Suave é cidade<br/>Pra quem gosta da cidade<br/>Pra quem tem necessidade de se esconder</p>, <p>Nossa cidade é tão pequena<br/>E tão ingênua<br/>Estamos longe demais<br/>Das capitais</p>, <p>Longe demais das capitais<br/>Longe demais das capitais</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>O 3º sexo, a 3ª guerra, o 3º mundo</p>]"
Infinita Highway,"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
"Filmes de Guerra, Canções de Amor","[<p>Os dias parecem séculos<br/>Quando a gente anda em círculos<br/>Seguindo ideais ridículos<br/>De querer, lutar e poder</p>, <p>As roupas na lavanderia<br/>O analista passeando na Europa<br/>As encomendas na Bolívia<br/>E nas fotos um sorriso idiota</p>, <p>Os dias parecem séculos<br/>E se parecem uns com os outros<br/>Como enfermeiras em filmes de guerra<br/>E violinos em canções de amor</p>, <p>A seguir cenas obscenas<br/>Do próximo capítulo<br/>É só virar a página<br/>E o futuro virá</p>, <p>Filmes de guerra, canções de amor<br/>Manchetes de jornal, ou seja lá o que for<br/>Há sempre uma história infeliz<br/>Esperando uma atriz e um ator</p>, <p>Há vida na terra, há rumores no ar<br/>Dizendo que tudo vai acabar<br/>(Mais uma história infeliz)<br/>(Esperando um ator e uma atriz)</p>, <p>Não tenho medo de perder a guerra<br/>Pois no fim da guerra todos perdem<br/>No fim das contas as nações unidas<br/>Tão sempre prontas pra desunião</p>, <p>Não tenho medo de perder você<br/>Desde o início eu sabia<br/>Era só questão de dias<br/>Um dia iria acontecer</p>, <p>Preciso beber qualquer coisa<br/>Não me lembre que eu não bebo<br/>O que só nós dois sabemos<br/>Nós sabemos que é segredo</p>, <p>Há um guarda em cada esquina<br/>Esperando o sinal<br/>Pra transformar um banho de piscina<br/>Numa batalha naval</p>, <p>Agora sinto um medo infantil<br/>Mas na hora certa afundaremos o navio<br/>Então dê um copo de aguardente<br/>Para um corpo sentindo frio</p>, <p>Preciso beber qualquer coisa<br/>Você sabe que eu preciso<br/>E o que só nós dois sabemos<br/>Já não é mais segredo</p>, <p>Se alguém, seja lá quem for<br/>Tiver que morrer, na guerra ou no amor<br/>Não me peça pra entender<br/>Não me peça pra esquecer</p>, <p>Não me peça para entender<br/>Não me peça pra escolher<br/>Entre o fio ciumento da navalha<br/>E o frio de um campo de batalha</p>, <p>Chegamos ao fim do dia<br/>Chegamos, quem diria?<br/>Ninguém é bastante lúcido<br/>Pra andar tão rápido</p>, <p>Chegamos ao fim do século<br/>Voltamos enfim ao início<br/>Quando se anda em círculos<br/>Nunca se é bastante rápido</p>]"
Refrão de Bolero,"[<p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Com um vinho barato<br/>Um cigarro no cinzeiro<br/>E uma cara embriagada<br/>No espelho do banheiro</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem os meus instintos mais sacanas<br/>O teu olhar sempre distante sempre me engana</p>, <p>Eu que falei: Nem pensar<br/>Agora me arrependo, roendo as unhas<br/>Frágeis testemunhas de um crime sem perdão<br/>Mas eu falei sem pensar</p>, <p>Coração na mão como o refrão de um bolero<br/>Eu fui sincero como não se pode ser<br/>Um erro assim, tão vulgar<br/>Nos persegue a noite inteira<br/>E quando acaba a bebedeira<br/>Ele consegue nos achar<br/>Num bar</p>, <p>Ana, teus lábios são labirintos<br/>Ana, eu sigo a tua pista todo dia da semana<br/>Eu entro sempre na tua dança de cigana</p>, <p>Ana, teus lábios são labirintos<br/>Ana, que atraem meus instintos mais sacanas<br/>E o teu olhar sempre distante sempre me engana<br/>Eu sigo a tua pista todo dia da semana</p>, <p>Todo dia, todo dia<br/>Da semana</p>, <p>Eu sigo a tua pista todo dia da semana<br/>Ana!<br/>O que eu falei foi sem pensar<br/>Foi sem pensar!</p>]"
Somos Quem Podemos Ser,"[<p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Um dia me disseram<br/>Que os ventos às vezes erram a direção</p>, <p>E tudo ficou tão claro<br/>Um intervalo na escuridão<br/>Uma estrela de brilho raro<br/>Um disparo para um coração</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Quem eram os donos da situação<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>E tudo ficou tão claro<br/>O que era raro ficou comum<br/>Como um dia depois do outro<br/>Como um dia, um dia comum</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>Quem ocupa o trono tem culpa<br/>Quem oculta o crime também<br/>Quem duvida da vida tem culpa<br/>Quem evita a dúvida também tem</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>]"
"Ouça o que Eu Digo, Não Ouça Ninguém","[<p>Tantas pessoas<br/>Paradas na esquina<br/>Assistindo a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Vendendo muito mais<br/>Do que queria vender</p>, <p>Vozes à toa<br/>Ecos na esquina<br/>Narrando a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Precisando de mais<br/>Venenos mortais</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te imploraram por favor não vire a mesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Tantas pessoas<br/>Paradas na esquina<br/>Fingindo pena:<br/>Criança pequena<br/>Cheirando cola<br/>Beijando a sola, do sapato</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te disseram pra esperar a sobremesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Ouça o que eu digo: não ouça ninguém</p>]"
Tribos e Tribunais,"[<p>Todo dia a gente inventa uma alegria<br/>A gente esquenta a água fria<br/>E ignora a bola fora</p>, <p>Toda hora a gente dá um desconto<br/>A gente faz de conta<br/>Mas chega a um ponto em que ninguém mais quer saber</p>, <p>Crimes passionais<br/>Profissionais liberais demais<br/>Segredos de Estado<br/>Centroavante recuado</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Agente secreto<br/>Agente imobiliário<br/>Gente como a gente<br/>Presidente e operário</p>, <p>Empresas estatais<br/>Estátuas de generais<br/>Heróis de guerra<br/>Guerra pela paz</p>, <p>Hindus, industriais<br/>Tribos e tribunais<br/>Pessoas que nunca aparecem<br/>Ou aparecem demais</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Críticos da arte<br/>Arte pela arte<br/>Pink Floyd sem Roger Waters<br/>(Welcome To The Machine)<br/>Formas sem função</p>, <p>Fascistas de direita<br/>Fascistas de esquerda<br/>Empresas sem fins lucrativos<br/>Empresas que lucram demais</p>, <p>E todo dia a gente inventa e fantasia<br/>A gente tenta todo dia<br/>Feitos cegos<br/>Egos em agonia</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem, não, não<br/>Todo dia, todo dia</p>]"
Alívio Imediato,"[<p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>Há espaço pra todos, há um imenso vazio<br/>Nesse espelho quebrado por alguém que partiu<br/>A noite cai de alturas impossíveis<br/>E quebra o silêncio e parte o coração</p>, <p>Há um muro de concreto entre nossos lábios<br/>Há um muro de Berlim dentro de mim<br/>Tudo se divide, todos se separam<br/>(Duas Alemanhas, duas Coreias)<br/>Tudo se divide, todos se separam</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>(Tudo se divide, tudo se separa<br/>Tudo se divide, tudo se separa)</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio<br/>Alívio<br/>Alívio<br/>Alívio</p>]"
Terra de Gigantes,"[<p>Ei, mãe!<br/>Eu tenho uma guitarra elétrica<br/>Durante muito tempo isso foi tudo<br/>Que eu queria ter</p>, <p>Mas, ei mãe!<br/>Alguma coisa ficou pra trás<br/>Antigamente eu sabia exatamente o que fazer</p>, <p>Ei, mãe!<br/>Tem uns amigos tocando comigo<br/>Eles são legais, além do mais<br/>Não querem nem saber</p>, <p>Mas agora, lá fora<br/>Todo mundo é uma ilha<br/>A milhas e milhas e milhas<br/>De qualquer lugar</p>, <p>Nessa terra de gigantes<br/>Eu sei, já ouvimos tudo isso antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>As revistas, as revoltas, as conquistas<br/>Da juventude são heranças<br/>São motivos pras mudanças de atitude<br/>Os discos, as danças, os riscos<br/>Da juventude<br/>A cara limpa, a roupa suja<br/>Esperando que o tempo mude</p>, <p>Nessa terra de gigantes<br/>Tudo isso já foi dito antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe!<br/>Já não esquento a cabeça<br/>Durante muito tempo<br/>Isso foi só o que eu podia fazer</p>, <p>Mas ei, ei, mãe!<br/>Por mais que a gente cresça<br/>Há sempre coisas que a gente<br/>Não pode entender</p>, <p>Por isso, mãe<br/>Só me acorda quando o Sol tiver se posto<br/>Eu não quero ver meu rosto<br/>Antes de anoitecer</p>, <p>Pois agora lá fora<br/>O mundo todo é uma ilha<br/>A milhas e milhas e milhas</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe<br/>(Ei, mãe)</p>]"
