Musica,Letra
Toda Forma De Poder,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Vertical,"[<p>Tá legal<br/>Eu tô ligado<br/>Saber o que é possível é legal</p>, <p>Eu tô ligado<br/>Querer o impossível é legal<br/>Eu tô ligado</p>, <p>Vai chegar a hora<br/>E quando chega a hora<br/>É mais legal</p>, <p>Saber, todo mundo sabe<br/>Querer, todo mundo quer<br/>Mais fácil falar do que fazer</p>, <p>Saber, todo mundo sabe<br/>Querer, todo mundo quer<br/>Mais fácil falar do que fazer</p>, <p>Vertical de corpo e alma<br/>Mergulho ou decolagem, tanto faz<br/>Eu tô ligado</p>, <p>Lá no alto ou lá no fundo é vertical<br/>Eu tô ligado<br/>Já chegou a hora<br/>E quando chega a hora é radical</p>, <p>Saber, todo mundo sabe<br/>Querer, todo mundo quer<br/>Mais fácil falar do que fazer</p>, <p>Saber, todo mundo sabe<br/>Querer, todo mundo quer<br/>Mais fácil falar do que fazer</p>, <p>Saber, todo mundo sabe<br/>Querer, todo mundo quer<br/>Mais fácil falar do que fazer</p>, <p>Saber, todo mundo sabe<br/>Querer, todo mundo quer<br/>Mais fácil falar do que fazer</p>, <p>Saber, todo mundo sabe<br/>Querer, todo mundo quer<br/>Mais fácil falar do que fazer</p>, <p>Tá legal<br/>Eu tô ligado</p>]"
Guantánamo,"[<p>Quem foi que disse ""te quero""?<br/>Qual era mesmo a canção?<br/>Quem viu a cor do dinheiro?<br/>Qual a melhor tradução?<br/>Quem foi ao Rio de Janeiro?<br/>Qual era a intenção?<br/>Qual foi o dia e a hora?<br/>Quem foi embora, adeus</p>, <p>Me tira daqui<br/>(Não adianta gritar)<br/>Me ajuda a fugir<br/>(Ninguém vai escutar)</p>, <p>Não aguento mais, eu não sei a resposta<br/>Não aguento mais, eu não sei a resposta</p>, <p>Quem sabe o que vem primeiro?<br/>Quem sabe o que vem depois?<br/>Quem cabe no mundo inteiro?<br/>Quem mais além de nós dois?<br/>Quem chama ao telefone?<br/>Por que não bate na porta?<br/>Que chama arde teu nome?<br/>Será que alguém se importa?</p>, <p>Me tira daqui<br/>(Não adianta gritar)<br/>Me ajuda a fugir<br/>(Ninguém vai escutar)</p>, <p>Não aguento mais, eu não sei a resposta<br/>Não aguento mais, eu não sei a resposta</p>, <p>Qual é a droga que salva?<br/>Qual é a dose letal?<br/>Quem quer saber tudo isso<br/>Será que aguenta a pressão?</p>, <p>Eu não sei a resposta<br/>Eu não sei a resposta</p>, <p>Não aguento mais, eu não sei a resposta<br/>Não aguento mais, eu não sei a resposta</p>]"
A Montanha,"[<p>Nem tão longe que eu não possa ver<br/>Nem tão perto que eu possa tocar<br/>Nem tão longe que eu não possa crer<br/>Que um dia chego lá<br/>Nem tão perto que eu possa acreditar<br/>Que o dia já chegou</p>, <p>No alto da montanha, num arranha-céu<br/>No alto da montanha, num arranha-céu</p>, <p>Se eu pudesse, ao menos te contar<br/>O que se enxerga lá do alto<br/>Com céu aberto, limpo e claro<br/>Ou com os olhos fechados<br/>Se eu pudesse ao menos te levar comigo lá</p>, <p>Pro alto da montanha, num arranha-céu<br/>Pro alto da montanha, num arranha-céu</p>, <p>Sem final feliz ou infeliz, atores sem papel<br/>No alto da montanha, à toa, ao léu</p>, <p>Nem tão longe, impossível<br/>Nem tampouco lá, já</p>, <p>No alto da montanha, num arranha-céu<br/>No alto da montanha, num arranha-céu</p>, <p>Sem final feliz ou infeliz, atores sem papel<br/>No alto da montanha, num arranha-céu</p>]"
Quebra Cabeça,"[<p>Pode ser pra sempre<br/>Pode não ser mais<br/>Pode ter certeza e voltar atrás<br/>Pode ser perfeito<br/>Fruto da imaginação<br/>Pode ter defeito de fabricação</p>, <p>Tá faltando peça no quebra-cabeça<br/>Eu não tenho pressa<br/>O meu tempo é todo teu<br/>É tudo que eu posso oferecer<br/>É pouco<br/>Mas é tudo que eu posso oferecer<br/>É quase nada<br/>Mas é tudo que eu posso oferecer</p>, <p>Pode estar no ponto<br/>Ponto de interrogação<br/>Pode ser encontro ou separação<br/>Pode correr risco<br/>Arriscado sempre é<br/>Só não pode o medo te paralisar</p>, <p>Tá faltando peça no quebra-cabeça<br/>Eu não tenho pressa<br/>O meu tempo é todo teu<br/>É tudo que eu posso oferecer<br/>É pouco<br/>Mas é tudo que eu posso oferecer<br/>É quase nada<br/>Mas é tudo que eu posso oferecer<br/>É pouco<br/>Mas é tudo que eu tenho</p>, <p>Tudo que eu  posso oferecer</p>]"
"No Meio De Tudo, Você","[<p>Selva<br/>A gente se acostuma a muito pouco<br/>A gente fica achando que é demais<br/>Quando chega em casa do trabalho quase vivo</p>, <p>Selva<br/>A gente se acostuma a muito pouco<br/>A gente fica achando que é o máximo<br/>Liberdade pra escolher a cor da embalagem</p>, <p>Nessa selva<br/>A gente se acostuma a muito pouco<br/>A gente fica achando que é normal<br/>Entrar na fila, comprar ingresso, pra levar porrada</p>, <p>No meio de tudo, você!<br/>Me salva da selva, me salva da selva!<br/>No meio de tudo, você!<br/>Me salva da selva, me salva da selva!</p>, <p>Selva, gente se acostuma a muito pouco<br/>A gente fica achando que é demais<br/>Um pouco de silêncio e um copo de água pura</p>, <p>Nessa Selva<br/>A gente se acostuma a muito pouco<br/>A gente fica achando que é o máximo<br/>Se o cara mente, mas tem cara de honesto</p>, <p>Nessa selva<br/>A gente se acostuma a muito pouco<br/>A gente fica achando que é o normal<br/>Finge que não vê, diz que não foi nada e leva mais porrada</p>, <p>No meio de tudo, você!<br/>Me salva da selva, me salva da selva!<br/>No meio de tudo, você!<br/>Me salva da selva, me salva da selva!</p>, <p>No meio de tudo, você!<br/>Me salva da selva, me salva da selva!<br/>No meio de tudo, você!<br/>Me salva da selva, me salva da selva!</p>, <p>No meio de tudo, você!<br/>Acima de tudo, no meio de tudo você!</p>]"
Não Consigo Odiar Ninguém,"[<p>Não quero seduzir teu coração turista<br/>Não quero te vender o meu ponto de vista<br/>Eu tive um sonho e há muito não sonhava<br/>Lembranças do futuro que a gente imaginava<br/>Nem sempre foi assim, outro mundo é possível<br/>Pode até ser o fim, mas será que é inevitável?</p>, <p>Não vá dizer que eu estou ficando louco<br/>Só porque não consigo odiar ninguém<br/>Do goleiro ao centroavante, do juiz ao presidente<br/>Eu não consigo odiar ninguém</p>, <p>O tempo parou, feito fotografia<br/>Amarelou tudo que não se movia<br/>O tempo passou, claro que passaria<br/>Como passam as vontades que voltam no outro dia</p>, <p>Não vá dizer que eu estou ficando louco<br/>Só porque não consigo odiar ninguém<br/>Do goleiro ao centroavante, do juiz ao presidente<br/>Eu não consigo odiar ninguém</p>, <p>Eu tive um sonho, o mesmo do outro dia<br/>Lembranças do futuro que a gente merecia</p>, <p>Não vá dizer que eu estou ficando louco<br/>Só porque não consigo odiar ninguém<br/>Do goleiro ao centroavante, do juiz ao presidente<br/>Eu não consigo odiar ninguém<br/>Eu não consigo odiar ninguém</p>]"
Cinza,"[<p>O mundo é teu, é teu umbigo<br/>Chapado e aquecido<br/>Deve ser o fogo amigo<br/>Queimando tudo, joio e trigo</p>, <p>Corre mundo um aviso<br/>Corre risco teu umbigo<br/>Se correr o bicho pega, pega<br/>Se ficar corre perigo</p>, <p>Bruxas dançam na fogueira<br/>Inimigos na trincheira<br/>Um calor infernal congela teu sorriso<br/>E o paraíso tropical</p>, <p>Sangue, suor e óleo diesel<br/>Com limão e muito gelo<br/>Arco-íris made in china<br/>De bobeira à beira da piscina<br/>O mundo é teu até o final<br/>Pra sempre em tempo real</p>, <p>Bruxas dançam na fogueira<br/>Inimigos na trincheira<br/>Um calor infernal congela o paraíso<br/>O sorriso é glacial</p>, <p>Vamos visitar o passado<br/>Mundo distante, passado muito além<br/>Onde a pessoa não valia pelo que ela é<br/>Só valia por aquilo que ela tem<br/>Vamos assistir ao naufrágio<br/>De um Titanic pesado e frágil<br/>Que foi à pique sem dó nem piedade<br/>Pela febre da ganância, pela falta de humildade<br/>Vamos perdoar aquela gente<br/>Que não soube enxergar um pouquinho na frente<br/>E secou tudo até a última fonte<br/>Queimou a floresta, matou a semente<br/>Vamos celebrar a nova civilização<br/>Que nasceu da destruição<br/>E já nasceu cuidando bem<br/>Pra não ter que aprender perdendo tudo, também</p>, <p>Bruxas dançam na fogueira<br/>Inimigos na trincheira<br/>Um calor infernal congela teu sorriso<br/>Paraíso virtual</p>, <p>Corre risco teu sorriso<br/>Corre atrás do prejuízo final</p>]"
Coração Blindado,"[<p>Fácil falar<br/>Fazer previsões depois que aconteceu<br/>Fácil pintar o quadro geral<br/>Da janela de um arranha-céu</p>, <p>Sem ter que sujar as mãos<br/>Sem ter nada a perder<br/>Sem o risco de pagar pelos erros que cometeu</p>, <p>Fácil achar o caminho a seguir<br/>Num mapa com lápis de cor<br/>Moleza mandar a tropa atacar<br/>Da tela do computador</p>, <p>Sem o cheiro<br/>Sem o som<br/>Sem ter nunca estado lá<br/>Sem ter que voltar pra ver o que restou</p>, <p>Com a coragem que a distância dá<br/>Em outro tempo em outro lugar<br/>Fica mais fácil</p>, <p>Fácil demais<br/>Fazer previsões depois que aconteceu<br/>Fácil sonhar condições ideais<br/>Que nunca existirão</p>, <p>Sempre a distância<br/>Sem noção<br/>O que rola pelo chão<br/>Não são as peças de um jogo de xadrez</p>, <p>Com a coragem que a distância dá<br/>Em outro tempo em outro lugar<br/>Tudo é tão fácil</p>]"
A Onda,"[<p>Força não há capaz de enfrentar<br/>Uma idéia cujo tempo tenha chegado<br/>A força não é capaz de salvar<br/>Uma idéia cujo tempo tenha passado</p>, <p>Pra pegar a onda tem que estar<br/>Na hora certa num certo lugar<br/>Pra pegar a onda, deixa estar:<br/>Deixa a onda te pegar<br/>Deixa a onda te levar</p>, <p>Pra pegar a onda tem que estar<br/>Na hora certa num certo lugar<br/>Pra pegar a onda, deixa estar:<br/>Deixa a onda te pegar<br/>Deixa a onda te levar</p>, <p>Pra pegar a onda tem que estar<br/>Surfando Karmas &amp; DNA<br/>Não dá pra domar a força do mar<br/>Deixa a onda te pegar<br/>Deixa a onda te levar (5 vezes)</p>]"
