Musica,Letra
"Ouça O Que Eu Digo, Não Ouça Ninguém","[<p>Tantas pessoas<br/>Paradas na esquina<br/>Assistindo a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Vendendo muito mais<br/>Do que queria vender</p>, <p>Vozes à toa<br/>Ecos na esquina<br/>Narrando a cena:<br/>Pele morena,<br/>Vendendo jornais<br/>Precisando de mais<br/>Venenos mortais</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te imploraram por favor não vire a mesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Tantas pessoas<br/>Paradas na esquina<br/>Fingindo pena:<br/>Criança pequena<br/>Cheirando cola<br/>Beijando a sola, do sapato</p>, <p>E o que nos devem<br/>Queremos em dobro<br/>Queremos em dólar<br/>O que nos devem<br/>Queremos em dobro<br/>Queremos agora</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Se te disseram pra esperar a sobremesa</p>, <p>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém<br/>Ouça o que eu digo: não ouça ninguém</p>, <p>Se te disseram pra não virar a mesa<br/>Se te disseram que o ataque é a pior defesa<br/>Ouça o que eu digo: não ouça ninguém</p>]"
Cidade Em Chamas,"[<p>As chances estão contra nós<br/>Mas nós estamos por aí<br/>A fim de sobreviver<br/>Como um avião sobrevoa<br/>A cidade em chamas<br/>A cidade em chamas</p>, <p>No meio da confusão<br/>Andando sem direção<br/>A fim de sobreviver<br/>Só pra ver como brilha<br/>A cidade em chamas<br/>A cidade em chamas</p>, <p>Se o que eu digo<br/>Não faz sentido<br/>Não faz sentido, ficar ouvindo<br/>Mas o que eu digo<br/>Não é mentira<br/>Não faz sentido<br/>Ficar mentindo</p>, <p>Enquanto as bombas caem do avião<br/>Deixando de recordação<br/>Da cidade em chamas<br/>A cidade em chamas</p>, <p>Já ouvimos esta estória<br/>Sabemos como acaba<br/>Acontece quase tudo<br/>Não muda quase nada<br/>Já vimos este filme<br/>Sabemos como acaba<br/>Explodem quase tudo<br/>Não sobra quase nada</p>, <p>Então, só resta uma solução<br/>Sair no meio da sessão<br/>Pra ver<br/>A cidade em chamas<br/>A cidade em chamas</p>, <p>As chances estão contra nós<br/>Mas nós estamos por aí<br/>A fim de sobreviver<br/>No meio da confusão<br/>Andando sem direção<br/>A fim de sobreviver</p>, <p>Enquanto as bombas caem do avião<br/>Deixando de recordação<br/>A cidade em chamas<br/>A cidade em chamas</p>, <p>Não basta ter coragem<br/>É preciso estar sozinho<br/>É preciso trair tudo<br/>E trazer a solidão<br/>Eu sei que eles tem razão<br/>Mas a razão é só o que eles tem</p>, <p>?quantas bocas se fecharão<br/>Quando a bomba beijar o chão<br/>Da cidade em chamas?<br/>Da cidade em chamas...</p>, <p>As chances estão contra nós<br/>Mas nós estamos por aí<br/>A fim de sobreviver<br/>Como um avião sobrevoa<br/>A cidade em chamas</p>]"
Somos Quem Podemos Ser,"[<p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Um dia me disseram<br/>Que os ventos às vezes erram a direção</p>, <p>E tudo ficou tão claro<br/>Um intervalo na escuridão<br/>Uma estrela de brilho raro<br/>Um disparo para um coração</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Quem eram os donos da situação<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>E tudo ficou tão claro<br/>O que era raro ficou comum<br/>Como um dia depois do outro<br/>Como um dia, um dia comum</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>Quem ocupa o trono tem culpa<br/>Quem oculta o crime também<br/>Quem duvida da vida tem culpa<br/>Quem evita a dúvida também tem</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>]"
Sob o Tapete,"[<p>Quando menos se espera<br/>O que seria já era<br/>O que seria de nós?<br/>Se não fosse a ilusão<br/>Que nos trouxe até aqui?<br/>Quanto mais se foge<br/>Tanto mais se quer fugir<br/>O que seria de nós<br/>Se não fosse a ilusão<br/>A doce ilusão de conseguir?</p>, <p>Há mais de uma semana<br/>Eu não sei que horas são<br/>Havia um romance<br/>Ao alcance da mão</p>, <p>Mas o cigarro apagou<br/>Enquanto eu decidia<br/>Se o vício valia<br/>Se eu seria capaz (x2)</p>, <p>Ou seria difícil demais</p>, <p>Quando menos se espera<br/>O que seria já era<br/>O que seria de nós?<br/>Se não fosse a mão<br/>Que nos trouxe até aqui?</p>, <p>Quanto mais se foge<br/>Tanto mais se quer fugir<br/>E só se pensa em fugir<br/>Da mão que nos trouxe<br/>A doce ilusão de conseguir</p>, <p>Há mais de um motivo<br/>Há mais de uma razão<br/>Havia um romance<br/>Ao alcance da mão<br/>Mas o cigarro apagou<br/>E me ensinou o macete<br/>De esconder as cinzas<br/>Sob o tapete</p>]"
Desde Quando?,"[<p>Desde quando errar é humano?<br/>Desde quando humano é normal?<br/>Desde quando errando é que se aprende?</p>, <p>Desde quando poluição é progresso?<br/>Desde quando progresso é melhor?<br/>Acho melhor começar tudo de novo<br/>Do que acabar pela primeira vez</p>, <p>Desde quando?<br/>Até quando?</p>, <p>Você insiste em dizer<br/>Que enxerga na escuridão<br/>Você insiste em dizer<br/>Que controla a situação<br/>Não minta agora, agora não</p>, <p>Desde quando viver é um sonho?<br/>Desde quando um sonho é preciso?<br/>Eu preciso do que eu quero<br/>Eu espero que você me dê</p>, <p>Desde quando ordem e progresso<br/>Nos levarão a algum lugar?<br/>Nem tudo que brilha é ouro<br/>Nem todo ouro pode nos salvar</p>, <p>Desde quando?<br/>Até quando?</p>, <p>Você insiste em dizer<br/>Que enxerga na escuridão<br/>Você insiste em dizer<br/>Que controla a situação<br/>Não minta agora, agora não</p>, <p>Desde quando poesia é verdade?<br/>Desde quando verdade vicia?<br/>Eu tô esperando que você me diga<br/>Desd'aquele dia</p>, <p>Rock'n'roll não é o que se pensa<br/>O que se pensa não é o que se faz<br/>O que se faz só faz sentido<br/>Quando vivemos em paz</p>, <p>Desde quando?<br/>Até quando?</p>, <p>Você insiste em dizer<br/>Que resiste à tentação<br/>Não minta agora, agora não</p>]"
Nunca Se Sabe,"[<p>Sei que parecem idiotas<br/>As rotas que eu traço<br/>Mas tento traçá-las eu mesmo<br/>E, se chego sempre atrasado<br/>Se nunca sei que horas são<br/>É porque nunca se sabe<br/>Até que horas os relógios funcionarão<br/>Sem dúvida a dúvida é um fato<br/>Sem fatos não sai um jornal<br/>Sem saída ficamos todos presos<br/>Aqui dentro faz muito calor<br/>Sempre parecem idiotas<br/>As rotas que eu faço<br/>Sempre tarde da noite<br/>E se ando sempre apressado<br/>Se nunca sei que horas são<br/>É porque nunca se sabe<br/>É porque nunca se sabe</p>, <p>Nem sempre faço o que é<br/>Melhor pra mim<br/>Mas nunca faço o que eu<br/>Não tô afim de fazer<br/>Nem sempre faço o que é<br/>Melhor pra mim<br/>Mas nunca faço o que eu<br/>Não tô afim</p>, <p>Não quero perder a razão<br/>Pra ganhar a vida<br/>Nem perder a vida<br/>Pra ganhar o pão<br/>Não é que eu faça questão de ser feliz<br/>Eu só queria que parassem<br/>De morrer de fome a um palmo do meu nariz<br/>Mesmo que pareçam bobagens<br/>As viagens que eu faço<br/>Eu traço meus rumos eu mesmo, a esmo<br/>E se nunca sei a quantas ando<br/>Se ando sem direção<br/>É porque nunca se sabe<br/>É porque nunca se sabe</p>, <p>Nem sempre faço o que é melhor pra mim<br/>Mas nunca faço o que eu<br/>Não tô afim de fazer<br/>Não viro vampiro, eu prefiro sangrar<br/>Me obrigue a morrer<br/>Mas não me peça pra matar, não!</p>, <p>Nem sempre faço o que é melhor pra mim<br/>Mas nunca faço o que eu<br/>Não tô afim de fazer<br/>Não viro vampiro, eu prefiro sangrar<br/>Me obrigue a morrer<br/>Mas não me peça pra matar, na-na-não!</p>]"
A Verdade a Ver Navios,"[<p>Na hora ""h""<br/>No dia ""d""<br/>Na hora de pagar pra ver<br/>Ninguém diz o que disse<br/>(não era bem assim)</p>, <p>Na hora ""h""<br/>No dia ""d""<br/>Na hora de acender a luz<br/>Ninguém dá nome aos bois<br/>(tudo fica pra depois)</p>, <p>Na hora ""h""<br/>No dia ""d""<br/>Ninguém paga pra ver<br/>Tudo fica pra trás<br/>Querem mais é esquecer</p>, <p>Mas é impossível repetir<br/>O que só acontece uma vez<br/>É impossível reprimir<br/>O que acontece toda vez<br/>Que alguém acorda<br/>Porque já não aguenta mais<br/>E a corda arrebenta<br/>No lado mais forte</p>, <p>É muito engraçado<br/>Que todos tenham os mesmos sonhos<br/>E que o sonho nunca vire realidade</p>, <p>É muito engraçado<br/>Que estejam do mesmo lado<br/>Os que querem iluminar<br/>E os que querem iludir</p>, <p>É muito engraçado<br/>Que todo mundo tenha<br/>Armas capazes de tudo<br/>De todo mundo acabar<br/>No dia ""d"", na hora ""h""</p>, <p>Mas é impossível repetir<br/>O que só acontece uma vez<br/>É impossível reprimir<br/>O que acontece toda vez<br/>Que alguém acorda<br/>Porque já não aguenta mais<br/>E a corda arrebenta<br/>No lado mais forte</p>, <p>É impossível repetir<br/>O que só acontece uma vez<br/>É impossível reprimir<br/>O que acontece toda vez<br/>Que chega a hora<br/>De dizer chega...</p>, <p>... a hora...<br/>... de dizer chega...</p>, <p>Não pagar pra ver<br/>A verdade a ver navios<br/>Onde já se viu?</p>]"
Tribos e Tribunais,"[<p>Todo dia a gente inventa uma alegria<br/>A gente esquenta a água fria<br/>E ignora a bola fora</p>, <p>Toda hora a gente dá um desconto<br/>A gente faz de conta<br/>Mas chega a um ponto em que ninguém mais quer saber</p>, <p>Crimes passionais<br/>Profissionais liberais demais<br/>Segredos de Estado<br/>Centroavante recuado</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Agente secreto<br/>Agente imobiliário<br/>Gente como a gente<br/>Presidente e operário</p>, <p>Empresas estatais<br/>Estátuas de generais<br/>Heróis de guerra<br/>Guerra pela paz</p>, <p>Hindus, industriais<br/>Tribos e tribunais<br/>Pessoas que nunca aparecem<br/>Ou aparecem demais</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Tem muita gente se queimando na fogueira<br/>E muito pouca gente se dando muito bem</p>, <p>Críticos da arte<br/>Arte pela arte<br/>Pink Floyd sem Roger Waters<br/>(Welcome To The Machine)<br/>Formas sem função</p>, <p>Fascistas de direita<br/>Fascistas de esquerda<br/>Empresas sem fins lucrativos<br/>Empresas que lucram demais</p>, <p>E todo dia a gente inventa e fantasia<br/>A gente tenta todo dia<br/>Feitos cegos<br/>Egos em agonia</p>, <p>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem<br/>Isso me sugere muita sujeira<br/>Isso não me cheira nada bem, não, não<br/>Todo dia, todo dia</p>]"
Pra Entender,"[<p>Pra entender<br/>Basta um tapa num cigarro<br/>Uma olhada no mapa do Brasil<br/>Uma caminhada por qualquer caminho<br/>Um carinho qualquer</p>, <p>Basta ver o que não se enxerga<br/>O que só se enxerga nos olhos de uma mulher<br/>Basta olhar pro que acontece<br/>Esteja onde estiver<br/>Pra entender<br/>Pra entender</p>, <p>Nada disso é tudo<br/>Tudo isso é fundamental</p>, <p>Pra entender<br/>Basta a cara e a coragem<br/>A cor, o corpo, o coração<br/>A cor, o corpo, o coração</p>, <p>Uma canção da banda preferida<br/>Uma descida ao porão<br/>Seis pilhas pro meu rádio<br/>Seis minutos pra canção<br/>Basta olhar pro o que acontece<br/>Aconteça o que acontecer<br/>Pra entender, pra entender</p>, <p>Nada disso é tudo<br/>Tudo isso é fundamental<br/>Pra entender<br/>Basta uma noite de insônia<br/>Um sonho que não tem fim<br/>Um filme sem muita graça<br/>Uma praça sem muito Sol<br/>Seis cordas pra guitarra<br/>Seis sentidos na mesma direção<br/>Seiscentos anos de estudo<br/>Ou seis segundos de atenção</p>, <p>Pra entender<br/>Pra entender<br/>Nada disso é tudo<br/>Tudo isso é fundamental</p>]"
Quem Diria?,"[<p>Quem diria<br/>Que um dia<br/>A gente iria<br/>Chegar ao fim?<br/>Quem diria<br/>Que seria<br/>Assim?<br/>Ninguém seria capaz de adivinhar<br/>Ninguém foi capaz de evitar</p>, <p>Você se enganou<br/>Tem que reconhecer<br/>Não me conhecia e não sabia o que queria saber<br/>Agora reclama<br/>Sem nenhuma razão<br/>Pra não dizer o que não quer ouvir ninguém falou<br/>Você se enganou<br/>Não pode negar<br/>Não me conhecia e não sabia, não sabia por quê</p>, <p>Quem diria<br/>Que um dia<br/>A gente iria<br/>Chegar ao fim?<br/>Quem diria<br/>Que seria<br/>Assim?<br/>Ninguém seria capaz de adivinhar<br/>Ninguém foi capaz de evitar</p>, <p>Você se assustou<br/>Foi fácil de perceber<br/>Não sabia o que queria, não sabia o que queria saber<br/>Agora reclama<br/>Com toda razão<br/>Pra não dizer o que não quer ouvir ninguém falou<br/>Foi o que deveria ter sido<br/>Se não fosse paixão...<br/>(se não fosse, se não fosse, se não)<br/>Se não fosse paixão...</p>, <p>Quem diria<br/>Que um dia<br/>A gente iria<br/>Chegar ao fim?<br/>Quem diria<br/>Que seria<br/>Assim?<br/>Ninguém seria capaz de adivinhar<br/>Ninguém foi capaz de evitar</p>]"
