Musica,Letra
Infinita Highway (Ao Vivo),"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
Toda Forma de Poder (Ao Vivo),"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
Até o Fim,"[<p>Não vim até aqui<br/>Pra desistir agora<br/>Entendo você<br/>Se você quiser ir embora<br/>Não vai ser a primeira vez<br/>Nas últimas 24 horas<br/>Mas eu não vim até aqui<br/>Pra desistir agora</p>, <p>Minhas raízes estão no ar<br/>Minha casa é qualquer lugar<br/>Se depender de mim<br/>Eu vou até o fim<br/>Voando sem instrumentos<br/>Ao sabor do vento<br/>Se depender de mim<br/>Eu vou até o fim</p>, <p>Eu não vim até aqui<br/>Pra desistir agora<br/>Entendo você<br/>Se você quiser<br/>Ir embora<br/>Não vai ser a primeira vez<br/>Nas últimas 24 horas<br/>A ilha não se curva<br/>Noite adentro<br/>Vida afora</p>, <p>Toda a vida<br/>O dia inteiro<br/>Não seria exagero<br/>Se depender de mim<br/>Eu vou até o fim</p>, <p>Cada célula<br/>Todo fio de cabelo<br/>Falando assim<br/>Parece exagero<br/>Mas se depender de mim<br/>Eu vou até fim</p>, <p>Não vim até aqui pra desistir agora<br/>Não vim até aqui pra desistir agora</p>]"
Vida Real (Ao Vivo),"[<p>Cai a noite sobre a minha indecisão<br/>Sobrevoa o inferno minha timidez<br/>Um telefonema bastaria<br/>Passaria a limpo a vida inteira<br/>Cai a noite sem explicação<br/>Sem fazer a ligação</p>, <p>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer<br/>Ah vida real</p>, <p>Esperei chegar a hora certa<br/>Por acreditar que ela viria<br/>Deixei no ar a porta aberta<br/>No final de cada dia<br/>Cai a noite, doce escuridão<br/>De madura vai ao chão</p>, <p>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer<br/>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer</p>, <p>Ah vida real<br/>Ah vida real<br/>Como é que eu troco de canal?</p>, <p>Na hora da canção em que eles dizem baby<br/>Eu não soube o que dizer<br/>Na hora da canção em que eles dizem samba<br/>Eu não soube o que dizer</p>, <p>Ah vida real<br/>Ah vida real<br/>Tchau!</p>]"
Somos Quem Podemos Ser (Ao Vivo),"[<p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Um dia me disseram<br/>Que os ventos às vezes erram a direção</p>, <p>E tudo ficou tão claro<br/>Um intervalo na escuridão<br/>Uma estrela de brilho raro<br/>Um disparo para um coração</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Quem eram os donos da situação<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>E tudo ficou tão claro<br/>O que era raro ficou comum<br/>Como um dia depois do outro<br/>Como um dia, um dia comum</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>Quem ocupa o trono tem culpa<br/>Quem oculta o crime também<br/>Quem duvida da vida tem culpa<br/>Quem evita a dúvida também tem</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>]"
3ª Do Plural,"[<p>Corrida pra vender cigarro<br/>Cigarro pra vender remédio<br/>Remédio pra curar a tosse<br/>Tossir, cuspir, jogar pra fora</p>, <p>Corrida pra vender os carros<br/>Pneu, cerveja e gasolina<br/>Cabeça pra usar boné<br/>E professar a fé de quem patrocina</p>, <p>Eles querem te vender<br/>Eles querem te comprar<br/>Querem te matar (de rir)<br/>Querem te fazer chorar</p>, <p>Quem são eles?<br/>Quem eles pensam que são?<br/>Quem são eles?<br/>Quem eles pensam que são?</p>, <p>Quem são eles?<br/>Quem eles pensam que são?<br/>Quem são eles?<br/>Quem eles pensam que são?</p>, <p>Corrida contra o relógio<br/>Silicone contra a gravidade<br/>Dedo no gatilho, velocidade<br/>Quem mente antes diz a verdade</p>, <p>Satisfação garantida<br/>Obsolescência programada<br/>Eles ganham a corrida<br/>Antes mesmo da largada</p>, <p>Eles querem te vender<br/>Eles querem te comprar<br/>Querem te matar (a sede)<br/>Eles querem te sedar</p>, <p>Quem são eles?<br/>Quem eles pensam que são?<br/>Quem são eles?<br/>Quem eles pensam que são?</p>, <p>Quem são eles?<br/>Quem eles pensam que são?<br/>Quem são eles?<br/>Quem eles pensam que são?</p>, <p>Vender, comprar, vendar os olhos<br/>Jogar a rede, contra a parede<br/>Querem te deixar com sede<br/>Não querem te deixar pensar</p>, <p>Quem são eles?<br/>Quem eles pensam que são?<br/>Quem são eles?<br/>Quem eles pensam que são?</p>, <p>Quem são eles?</p>]"
Alívio Imediato (Ao Vivo),"[<p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>O melhor esconderijo, a maior escuridão<br/>Já não servem de abrigo, já não dão proteção<br/>A Líbia é bombardeada, a libido e o vírus<br/>O poder, o pudor, os lábios e o batom</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>Há espaço pra todos, há um imenso vazio<br/>Nesse espelho quebrado por alguém que partiu<br/>A noite cai de alturas impossíveis<br/>E quebra o silêncio e parte o coração</p>, <p>Há um muro de concreto entre nossos lábios<br/>Há um muro de Berlim dentro de mim<br/>Tudo se divide, todos se separam<br/>(Duas Alemanhas, duas Coreias)<br/>Tudo se divide, todos se separam</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio imediato</p>, <p>(Tudo se divide, tudo se separa<br/>Tudo se divide, tudo se separa)</p>, <p>Que a chuva caia como uma luva<br/>Um dilúvio, um delírio<br/>Que a chuva traga<br/>Alívio imediato</p>, <p>Que a noite caia<br/>De repente caia<br/>Tão demente quanto um raio<br/>Que a noite traga<br/>Alívio<br/>Alívio<br/>Alívio<br/>Alívio</p>]"
A Revolta Dos Dandis (Parte 1) (Ao Vivo),"[<p>Entre um rosto e um retrato, o real e o abstrato<br/>Entre a loucura e a lucidez<br/>Entre o uniforme e a nudez<br/>Entre o fim do mundo e o fim do mês<br/>Entre a verdade e o rock inglês<br/>Entre os outros e vocês</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre mortos e feridos, entre gritos e gemidos<br/>(A mentira e a verdade, a solidão e a cidade)<br/>Entre um copo e outro da mesma bebida<br/>Entre tantos corpos com a mesma ferida</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre americanos e soviéticos, gregos e troianos<br/>Entra ano e sai ano, sempre os mesmos planos<br/>Entre a minha boca e a tua, há tanto tempo, há tantos planos<br/>Mas eu nunca sei pra onde vamos</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>]"
Eu Que Não Amo Você,"[<p>Eu, que não fumo, queria um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês</p>, <p>Senti saudade, vontade de voltar<br/>Fazer a coisa certa, aqui é o meu lugar<br/>Mas sabe como é difícil encontrar<br/>A palavra certa, a hora certa de voltar<br/>A porta aberta, a hora certa de chegar</p>, <p>Eu, que não fumo, queria um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês<br/>E eu, que não bebo, pedi um conhaque<br/>Pra enfrentar o inverno<br/>Que entra pela porta<br/>Que você deixou aberta ao sair</p>, <p>O certo é que eu dancei sem querer dançar<br/>E agora já nem sei qual é o meu lugar<br/>Dia e noite, sem parar, eu procurei, sem encontrar<br/>A palavra certa, a hora certa de voltar<br/>A porta aberta, a hora certa de chegar</p>, <p>Eu, que não fumo, queria um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês<br/>E eu que não bebo, pedi um conhaque<br/>Pra enfrentar o inverno<br/>Que entra pela porta<br/>Que você deixou aberta ao sair</p>, <p>Eu, que não fumo, eu queria um cigarro<br/>Eu que não amo você</p>, <p>Eu, que não fumo, pedi um cigarro<br/>Eu que não amo você<br/>Envelheci dez anos ou mais<br/>Nesse último mês<br/>E eu que não bebo, queria um conhaque<br/>Pra enfrentar o inverno<br/>Que entra pela porta<br/>Que você deixou aberta ao sair</p>]"
Ninguém = Ninguém (Ao Vivo),"[<p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há tanta gente pelas ruas<br/>Há tantas ruas e nenhuma é igual a outra<br/>Ninguém é igual a ninguém<br/>Me espanta de tanta gente sinta<br/>Se é que sente a mesma indiferença</p>, <p>Há tantos quadros na parede<br/>Há tantas formas de se ver o mesmo quadro<br/>Há palavras que nunca são ditas<br/>Há muitas vozes repetindo a mesma frase<br/>Ninguém é igual a ninguém<br/>Me espanta que tanta gente minta<br/>Descaradamente, a mesma mentira</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais</p>, <p>Há pouca água e muita sede<br/>Uma represa, um apartheid<br/>A vida seca, os olhos úmidos<br/>Entre duas pessoas<br/>Entre quatro paredes<br/>Tudo fica claro<br/>Ninguém fica indiferente<br/>Ninguém é igual a ninguém<br/>Me assusta que justamente agora<br/>Todo mundo, tanta gente, tenha ido embora</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Mas uns mais iguais<br/>Que os outros</p>, <p>O que encanta é que tanta gente<br/>Sinta, se é que sente, ou<br/>Minta desesperadamente<br/>Da mesma forma</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais<br/>Mas uns mais iguais que os outros</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Todos iguais<br/>Todos iguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Tão desiguais<br/>Tão desiguais</p>, <p>Todos iguais<br/>Tão desiguais</p>]"
