Musica,Letra
Hora Do Mergulho,"[<p>Feche a porta, esqueça o barulho<br/>Feche os olhos, tome ar<br/>É hora do mergulho!</p>, <p>Eu sou moço, seu moço, e o poço não é tão fundo</p>, <p>Super-homem, não supera a superfície<br/>Nós mortais viemos do fundo<br/>Eu sou velho, meu velho, tão velho quanto o mundo</p>, <p>Eu quero paz, uma trégua<br/>Do lilás-neon-Las Vegas<br/>Profundidade: 20. 000 léguas<br/>Se queres paz, te prepara para a guerra<br/>Se não queres nada, descansa em paz</p>, <p>Luz, pediu o poeta, últimas palavras, lucidez completa<br/>Depois silêncio</p>, <p>Esqueça a luz! Respire fundo!<br/>Eu sou um déspota esclarecido nessa escura e profunda mediocracia</p>]"
A Perigo,"[<p>Planos de vôo<br/>Tava tudo em cima: céu de brigadeiro sobre nós<br/>Pane... pânico<br/>Perdemos a altura... puxaram o tapete voador<br/>Hoje estamos a perigo<br/>Hoje estamos separados, divididos<br/>Mas um dia, um dia, nós seremos a maioria</p>, <p>Pane...! que pena!<br/>Panos quentes<br/>Fica tudo como está; no mesmo lugar... impunemente<br/>Hoje estamos a perigo<br/>Hoje estamos separados, divididos<br/>Mas um dia, um dia, nós seremos a maioria</p>, <p>Eu sigo em frente, pra frente eu vou<br/>Eu sigo em frente, pra frente eu vou<br/>Eu sigo em frente, pra frente eu vou<br/>Eu sigo enfrentando a onda<br/>Onde muita gente naufragou</p>, <p>Nós seremos a maioria<br/>Seremos a maioria</p>]"
Simples De Coração,"[<p>Volta pra casa<br/>Me traz na bagagem<br/>Tua viagem sou eu</p>, <p>Novas paisagens<br/>Destino, passagem<br/>Tua tatuagem sou eu</p>, <p>Casa vazia, luzes acesas<br/>Só pra dar a impressão<br/>Cores e vozes, conversas animadas<br/>É só a televisão</p>, <p>Já perdemos muito tempo<br/>Brincando de perfeição<br/>Esquecemos o que somos<br/>Simples de coração</p>, <p>Volta voando<br/>Vinda do alto<br/>Derrete o chumbo do céu</p>, <p>Antes que eu saia<br/>Pela tangente<br/>No giro do carrossel</p>, <p>Falta uma volta<br/>Ponteiros parados<br/>Tudo dança em torno de ti</p>, <p>Volta voando<br/>Fim da viagem<br/>Bem vinda à vida real</p>, <p>Já perdemos muito tempo<br/>Brincando de perfeição<br/>Agora é bola pra frente<br/>Agora é bola no chão</p>, <p>Já brincamos muito tempo<br/>Até perder a direção<br/>Na santa paz de Deus<br/>No mais perfeito caos</p>]"
Lance De Dados,"[<p>Daqui não tem mais volta, pra frente é sem saber<br/>Pequenos paraísos e riscos a correr<br/>Os deuses jogam pôquer<br/>E bebem no saloon doses generosas de BR 101<br/>Tá escrito há 6.000 anos em parachoques de caminhão<br/>Atalhos perigosos feito frases feitas<br/>Os deuses dão as cartas... o resto é com você</p>, <p>No fundo tudo é ritmo<br/>A dança foge do salão<br/>Invade a autoestrada do átomo ao caminhão<br/>O fim é puro ritmo<br/>O último suspiro é purificação<br/>Os deuses dão as costas... agora é só você</p>, <p>Os deuses dão as cartas... agora é só você... querer!</p>]"
A Promessa,"[<p>Não vejo nada (o que eu vejo não me agrada)<br/>Não ouço nada (o que eu ouço não diz nada)<br/>Perdi a conta das pérolas e porcos<br/>Que eu cruzei pela estrada</p>, <p>Estou ligado a cabo<br/>A tudo que acaba de acontecer</p>, <p>Propaganda é a arma do negócio<br/>No nosso peito bate um alvo muito fácil<br/>Mira a laser, miragem de consumo<br/>Latas e litros de paz teleguiada</p>, <p>Estou ligado a cabo<br/>A tudo que eles têm pra oferecer</p>, <p>O céu é só uma promessa<br/>Eu tenho pressa, vamos nessa direção<br/>Atrás de um sol que nos aqueça<br/>Minha cabeça não aguenta mais</p>, <p>Tu me encontrastes de mãos vazias<br/>Eu te encontrei na contramão<br/>Na hora exata, na encruzilhada<br/>Na highway da super-informação</p>, <p>Estamos tão ligados<br/>Já não temos o que temer</p>, <p>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção<br/>Atrás de um sol que nos aqueça<br/>Minha cabeça não aguenta mais</p>, <p>Não aguenta mais</p>, <p>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção<br/>O céu é só uma promessa<br/>E eu tenho pressa, vamos nessa direção</p>, <p>O céu é só uma promessa</p>]"
Por Acaso,"[<p>Não, eu não posso negar<br/>Não adianta disfarçar<br/>Agora você me prensou contra a parede<br/>Eu não passava por aí por acaso<br/>Não, eu não olhava pra você por acaso<br/>Eu sempre quis você</p>, <p>Se eu não me fiz entender<br/>Não foi por mal<br/>Não foi por nada<br/>Nada foi por acaso</p>, <p>Tudo que já fizemos juntos<br/>E o que deixamos de fazer<br/>Desaba alta madrugada<br/>Nada faz a menor diferença<br/>Quando a gente pensa no que ainda pode ser</p>, <p>Se eu não te fiz entender<br/>Que era feliz com você<br/>Não foi por mal<br/>Não foi por nada<br/>Nada foi por acaso<br/>Da janela do avião eu vejo Porto Alegre<br/>Vejo o futuro em flash-back<br/>Meu pai, minha filha, nossa casa<br/>Da janela do avião eu vejo por acaso<br/>O nosso caminho, Moinhos de Vento<br/>Glória, Independência, a nossa Redenção<br/>Vejo da janela do avião</p>, <p>Eu sempre quis voltar<br/>Eu sempre quis você<br/>Um dia eu quis tudo<br/>Tudo estava aqui<br/>Por aí<br/>Porto Alegre por acaso</p>]"
Ilex Paraguariensis,"[<p>Hoje eu acordei mais cedo<br/>Tomei sozinho o chimarrão<br/>Procurei a noite na memória... procurei em vão<br/>Hoje eu acordei mais leve (nem li o jornal)<br/>Tudo deve estar suspenso... nada deve pesar<br/>Já vivi tanta coisa, tenho tantas a viver<br/>Tô no meio da estrada e nenhuma derrota vai me vencer<br/>Hoje eu acordei livre: não devo nada a ninguém<br/>Não há nada que me prenda</p>, <p>Ainda era noite, esperei o dia amanhecer<br/>Como quem aquece a água sem deixar ferver<br/>Hoje eu acordei, agora eu sei viver no escuro<br/>Até que a chama se acenda<br/>Verde... quente... erva... ventre... dentro... entranhas<br/>Mate amargo noite adentro estrada estranha</p>, <p>Nunca me deram mole, não (melhor assim)<br/>Não sou a fim de pactuar (sai pra lá)<br/>Se pensam que tenho as mãos vazias e frias (melhor assim)<br/>Se pensam que as minhas mãos estão presas (surpresa)</p>, <p>Mãos e coração, livres e quentes: chimarrão e leveza<br/>Mãos e coração, livres e quentes: chimarrão e leveza</p>, <p>... ilex paraguariensis...<br/>... ilex paraguariensis...</p>]"
O Castelo Dos Destinos Cruzados,"[<p>Quando você me disse que não era nada<br/>Daquilo que a gente sempre imaginou<br/>Um vento frio soprou, uma janela bateu<br/>Na noite escura da alma<br/>Quando você me olhou daquele jeito<br/>Que só você olhava<br/>Um passarinho voou baixinho<br/>Deixou prá trás tudo que acreditava<br/>Quando as paredes e o teto cairam<br/>Eu pensei que era o final<br/>Mas era só o começo de um problema<br/>Só um pesadelo normal<br/>Lembra de mim, você me enlouquece<br/>A cabeça diz que é besteira<br/>Mas o coração não esquece<br/>No castelo dos destinos que se cruzam no tempo<br/>Ninguém liga se já foi ou se ainda pode ser<br/>Uma criança que nasceu em 62<br/>Uma mulher que eu conheci em 43<br/>Os dias passam lentamente prá quem pensa nos dias<br/>Semanas e semanas só pensando em você<br/>O tempo pinga lento, dentro do meu talismã<br/>Nas estrelas de centauro, hoje é o ontem do amanhã<br/>Lembra de mim...<br/>No castelo dos destinos cruzados<br/>O viajante que chegou pode ser você<br/>Eu fiz de tudo que eu pude para te esquecer<br/>A morte vive aqui do lado só que a gente não vê<br/>Uma pessoa que ficou perdida<br/>Uma pessoa que caiu do céu<br/>Uma pessoa que você já conhecia<br/>Muito antes de nascer e que você perdeu</p>]"
Vícios De Linguagem,"[<p>Tudo se resume a uma briga de torcidas<br/>E a gente ali no meio, no meio das bandeiras<br/>O jogo não importa, ninguém tá assistindo<br/>E a gente ali no meio, no meio da cegueira <br/>Tudo se reduz a um campo de batalha<br/>E a gente ali no meio<br/>Tudo se resume a disputa entre partidos<br/>Lama na imprensa, sangue nas bandeiras<br/>A verdade passa ao largo, como se não existisse<br/>E a gente ali no meio, como se não existisse<br/>Tudo se reduz, a uma cruz e uma espada</p>, <p>Tchê, de que lado tu estás?<br/>Ninguém pode agradar os dois lados<br/>Hey, it's time to make a choice<br/>We all want to hear your voice (it's true)<br/>Faça a sua aposta, tome a sua decisão</p>, <p>Tudo se produz na mesma linha de montagem<br/>Apogeu e decadência na mais nobre linhagem</p>, <p>Votos de silêncio... vícios de linguagem<br/>Nada traduz<br/>Hey, don't you know that you are<br/>In the middle of a war (yes, you are)<br/>Tchê, de que lado tu estás?<br/>Ninguém pode ficar no meio do tiroteio<br/>Now it's time to say whose side you're on <br/>Tudo se resume, se presume, se reduz<br/>E o principal fica fora do resumo</p>]"
Algo Por Você,"[<p>Hey, garota, não fique esperando o telefone tocar<br/>Os homens são o que são e são todos iguais<br/>O difícil é saber quem é clone de quem</p>, <p>Hey, garota, não fique esperando o telefone tocar<br/>De volta ao passado, tecendo tapetes, <br/>Esperando o guerreiro voltar</p>, <p>Já lhe fizeram sofrer demais<br/>Já lhe fizeram feliz demais<br/>Tá na hora de você mesma fazer<br/>Algo por você<br/>Só você pode fazer</p>, <p>Hey, garota, o dia já passou, não deixe a noite passar<br/>Passe um batom, ou não, e vá se divertir<br/>Você vai descobrir quem é clone de quem</p>, <p>Hey, garota, faça um favor: não fique esperando<br/>Faça algo por você<br/>Hey, garota, faça um favor: não fique esperando<br/>Faça algo por você</p>, <p>E só você pode fazer</p>]"
